project_id,source_row,source_slug,project_name,raw_developer,developer_family,mapping_basis,mapping_confidence,legal_contracting_seller,legal_seller_status,operator_or_brand_signal,district_raw,property_type_raw,location_type_evidence,official_group_source,official_project_source,source_path,source_layer,source_project_path,source_verified_at,inventory_status,registration_enabled,commercial_status,next_action,notes
PHK-P-846b0ce44f98,1,the-title-sierra,The Title Sierra,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Банг Тао,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/the-title-sierra.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row; group mapping high-confidence.
PHK-P-3dfeadeb9e04,2,title-vivi,The Title Vivi,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Банг Тао,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/title-vivi.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row.
PHK-P-46b806e48450,3,the-title-artrio,The Title Artrio,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Банг Тао,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/the-title-artrio.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row.
PHK-P-9ce2e2ab9fe4,4,the-modeva,The Modeva,AssetWise,AssetWise PCL,existing_seed_mapping,high,unknown,not_verified,unknown,Банг Тао,condo,existing_seed,https://assetwise.co.th/,,ru/wegc-catalog-data.js,direct,/projects/the-modeva.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Current generator maps Modeva to AssetWise; stale conflicting attribution elsewhere must not override without evidence.
PHK-P-04e49a4b62ce,5,the-title-vivana,The Title Vivana,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Камала,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/the-title-vivana.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row.
PHK-P-62632c9e818b,6,the-title-biancana,The Title Biancana,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Сурин,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/the-title-biancana.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row.
PHK-P-090d2489b73b,7,the-title-balcony,The Title Balcony,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Най Янг,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/the-title-balcony.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row.
PHK-P-ad76c603578c,8,the-olive,The Olive,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Най Янг,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/the-olive.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row; raw developer explicitly Rhom Bho / The Title.
PHK-P-f2ed71f11f68,9,the-title-katabello,The Title Katabello,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Ката · Карон,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/the-title-katabello.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row.
PHK-P-f7d6301555f5,10,the-title-adora,The Title Adora,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Раваи,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/the-title-adora.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row.
PHK-P-991e173f011b,11,casa-de-monte,Casa de Monte,Rhom Bho,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Ко Кео,villa,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,direct,/projects/casa-de-monte.html,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,Direct WEGC row; raw developer Rhom Bho.
PHK-P-ebfbdadbb933,12,the-title-coralina,The Title Coralina,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Камала,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,market,/ru/zhk.html?p=the-title-coralina,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,EXTRA_EN row.
PHK-P-03b2679265c2,13,the-title-cielo,The Title Cielo,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Банг Тао,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,market,/ru/zhk.html?p=the-title-cielo,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,EXTRA_EN row.
PHK-P-bd6ff80e3652,14,the-title-halo,The Title Halo,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Банг Тао,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,market,/ru/zhk.html?p=the-title-halo,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,EXTRA_EN row.
PHK-P-4c563ef9d50b,15,the-title-heritage,The Title Heritage,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Банг Тао,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,market,/ru/zhk.html?p=the-title-heritage,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,EXTRA_EN row.
PHK-P-a0274d14b5f2,16,the-title-legendary,The Title Legendary,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Банг Тао,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,market,/ru/zhk.html?p=the-title-legendary,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,EXTRA_EN row.
PHK-P-334f243f482e,17,the-title-serenity,The Title Serenity,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Камала,condo,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,market,/ru/zhk.html?p=the-title-serenity,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,EXTRA_EN row.
PHK-P-0768fd4fca46,18,the-title-villa-kirara,The Title Villa Kirara,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,existing_seed_mapping,high,unknown,not_verified,unknown,Банг Тао,villa,existing_seed,https://thetitleresidence.com/,,ru/wegc-catalog-data.js,market,/ru/zhk.html?p=the-title-villa-kirara,,not_verified,false,not_verified,verify_project_seller_terms_inventory_and_lead_rules,EXTRA_EN row.
