priority_rank,company,city,contact_route,named_contact_or_role,email,phone,current_status,why_priority,next_action
1,Грановит,Новосибирск,director_level_public_contact,"Александр Эдуардович Бычковский — директор",direktor@granovit.ru,+7 (383) 203-11-11,named_owner_level_contact_verified,"Direct director-level public route plus developer/agent partnership evidence","Final fit check then owner review for manual outreach"
2,Визит,Самара,named_newbuild_manager,"Иван Андриянов — руководитель отдела новостроек",128@vzt.ru,+7 (846) 972-03-53 доб. 128,named_commercial_role_verified,"Named head of new-builds with direct email/extension","Confirm overseas-property appetite then owner review"
3,Орбита 72,Тюмень,named_commercial_director_plus_partner_signal,"Сергей Бортнев — коммерческий директор; Галина Капустина — партнёр по новостройкам",orbita-72@bk.ru,8 (3452) 777-888,named_commercial_role_verified,"Commercial leadership + new-build partner + partner-offer signal","Review partner-offer terms and prepare personalized manual message"
4,ЛЕДОН,Омск,named_ceo_plus_central_email,"Каюкин Александр Геннадьевич — генеральный директор",ledon@ledon55.ru,+7 (3812) 38-58-98,named_ceo_contact_route_verified,"Named CEO, central email, new-build inventory","Qualify overseas fit and route proposal to CEO/new-build owner"
5,Новосёл,Екатеринбург,central_call_plus_franchise_signal,"Евгений Новосёлов — генеральный директор и основатель",unknown,+7 (343) 300-3-600,named_owner_signal_verified,"Founder identified and partnership/franchise signal","Find direct email/assistant and qualify non-franchise partnership fit"
6,Дом Недвижимости,Екатеринбург,named_deputy_director,"Полозова Светлана Владимировна — заместитель директора",unknown,+7 908 631-53-39,named_management_contact_verified,"Named management-level direct mobile/messenger route","Confirm authority for new overseas direction and investment/new-build fit"
7,ИНКОМ-Недвижимость,Москва,named_newbuild_b2b_signal,"Валерий Павлович Кочетков — директор направления «Новостройки»",unknown,+7 (495) 363-10-03,contact_verified_role_needs_fit_check,"Named new-build director and B2B developer-sales signal","Find current direct email/assistant; test fit for overseas distribution"
8,Города,Новосибирск,founder_plus_partner_network,"Марат Авлеев — учредитель федеральной системы «ГОРОДА»",team@goroda.company,8 (800) 700-00-22,named_founder_partner_signal_verified,"Founder + expanding partner-network model","Find partnership manager and assess network-level MIRA activation"
9,АРЕВЕРА-Недвижимость,Красноярск,named_executive_signal,"Ирина Томаровская — исполнительный директор (official company content)",info@arevera.ru,+7 (391) 290-44-88,named_executive_signal_verified,"Named executive leadership and established regional scale","Find direct executive/commercial route and overseas-property interest"
10,МИЭЛЬ,Москва,franchise_partner_intake,"franchise/partner intake",unknown,unknown,partner_route_verified_fit_pending,"Formal partner/franchise intake and large network","Identify business-development owner and confirm non-franchise cooperation format"
11,Метриум,Москва,general_commercial_route,"general company contact",info@metrium.ru,+7 (499) 755-20-70,public_contact_verified,"Professional market participant cooperation signal and new-build/investment positioning","Find named commercial/partnership owner and international-property direction"
12,Монолит,Нижний Новгород,general_company_contact,"general company contact",info@monolitestate.com,+7 (831) 283-38-98,public_contact_verified,"Official partner cooperation language and strong regional presence","Find named partnership/commercial owner; keep central entity only"
13,Аском,Владивосток,central_sales_leadership_route,"sales department leadership route",secretar@askom.io,+7 (423) 202-54-19,public_contact_and_leadership_route_verified,"Far East geography plus direct sales leadership routes","Identify central commercial/partnership decision maker"
14,Петербургская Недвижимость,Санкт-Петербург,general_messenger_call_route,"general digital contact route",unknown,8 (800) 333-03-55,public_contact_verified,"Strong new-build distribution brand in large market","Find named new-build/commercial partnership owner"
15,НДВ,Москва,central_sales_contact,"general company contact",unknown,"+7 (495) 988-44-22; 8 800 200-44-02",public_contact_verified,"Large new-build sales operation","Find business-development/partnership owner and international activity"
16,Point Estate,Москва,general_contact,"general company contact",info@pointestate.ru,+7 499 288-88-67,public_contact_verified,"Premium/investment audience relevant to Phuket","Find owner/commercial partnership contact and foreign-property activity"
17,АЯКС,Краснодар,central_network_contact,"central company route; CEO named on official about page",unknown,8 (861) 297-00-00,public_contact_verified,"Large South Russia network and resort/investment audience","Find central business-development owner; do not contact branches independently"
18,ЖИЛФОНД,Новосибирск,office_network_contact,"multiple Novosibirsk offices",unknown,+7 (383) 230-33-10,office_presence_verified,"Large regional network with strong client base","Find central commercial/partnership owner; avoid branch duplication"
19,Адресат,Волгоград,central_company_contact,"general company contact",unknown,8 (8442) 98-00-90,public_contact_verified,"Priority example of strong non-capital regional market","Find owner/commercial/new-build leader"
20,Высоцкий Эстейт,Хабаровск,regional_office_contact,"Хабаровск office route",meneger6a@gmail.com,+7 (924) 403-06-42,regional_contact_verified,"Far East office is strategically relevant to Asia-bound buyers","Identify central/network partnership owner and local autonomy"
