priority_rank,developer_id,developer_group,official_route,contact_or_channel,why_now,next_request,status
1,PHK-001,Rhom Bho Property / THE TITLE,https://thetitleresidence.com/,existing internal relationship + official site,"First market cornerstone; broad Phuket portfolio and existing relationship","Confirm named agency-relations owner, current commission schedule, lead registration/protection, payout timing, current inventory and agreement coverage",ready_for_manual_owner_review
2,PHK-002,Botanica Luxury Villas,https://www.botanicaluxuryvilla.com/agent_club/,Agent Club + info@botanicaluxuryvilla.com,"Official B2B agent intake already exists","Introduce MIRA distribution model; request channel owner, current projects, partner agreement, commissions, lead protection and materials",ready_for_manual_owner_review
3,PHK-004,Origin Property,https://origin.co.th/en/origin-agent-club,Origin Agent Club / 1498,"Official agent pathway; multiple Phuket projects","Request international/channel manager, agency contract, client-registration rules, commissions, launch inventory and materials",ready_for_manual_owner_review
4,PHK-005,Sansiri,https://www.sansiri.com/agent-recruitment/en/,internationalbuyers@sansiri.com,"Official international agent registration and published channel process","Request named international business manager, eligible Phuket projects, written commission confirmation, lead protection and payout terms",ready_for_manual_owner_review
5,PHK-010,The Ozone Group Phuket,https://ozonephuket.com/,Anil EN/CN/RU + sales@theozonegroupphuket.com,"Named multilingual sales contact and direct sales route","Request agency-relations terms, portfolio, commission schedule, lead registration and Russian-market materials",ready_for_manual_owner_review
6,PHK-012,Anchan Villas / Pearl Island Property,https://anchanvillas.com/,info@anchanvillas.com / +66 92 389 9000,"Direct sales office and established villa portfolio","Request broker agreement, project list, commissions, lead protection and dedicated channel contact",ready_for_manual_owner_review
7,PHK-016,Phuket9,https://phuket9.com/,sales@phuket9.com / +66 98 674 7096,"Direct sales route and known Phuket developer presence","Request B2B agency terms, active projects, client registration, commission and payout schedule",ready_for_manual_owner_review
8,PHK-007,Laguna Phuket / Laguna Residences,https://www.lagunaphuket.com/contact-us/,SILK@lagunaphuket.com / +66 76 304 504,"Direct residence-sales route and strong inventory brand","Request appointed-agent owner, eligible residences, commissions, lead protection and agreement entity",ready_for_manual_owner_review
9,PHK-003,AssetWise,https://assetwise.co.th/,official contact route,"Modeva attribution should be normalized to AssetWise; strategic Phuket inventory","Request channel-partner owner for Phuket, agency terms, commission, lead registration and current launches",needs_named_partner_contact
10,PHK-011,The Zero Phuket,https://thezerophuket.com/,official contact route,"Multiple Phuket projects grouped under one developer family","Request agency manager, current inventory, commission and lead-protection rules",needs_named_partner_contact
11,PHK-006,Banyan Group Residences,https://banyangroupresidences.com/,+66 76 362 333,"Parent residence group behind multiple branded products","Map group vs Laguna sales entities; request distribution owner and contracting route",needs_entity_and_partner_map
12,PHK-008,Utopia Corporation,https://utopia.co.th/,official contact route,"Large legacy/current Phuket footprint in internal catalog","Confirm active sellable inventory, legal seller, agency programme and named partner contact",needs_inventory_and_partner_check
13,PHK-019,Wallaya Villas,https://www.wallayavillas.com/privacy-policy/,official agent/lead terms signal,"Evidence of agent/lead handling exists publicly","Request direct agency-relations contact, active inventory, commission and registration procedure",needs_direct_contact
14,PHK-020,Supalai,https://www.supalai.com/,agent-registration signal,"Large listed developer with agent pathway signal","Confirm current Phuket projects and responsible channel owner before outreach",needs_current_phuket_inventory
15,PHK-023,Trichada Villas,https://trichada.com/,official sales route,"Several Trichada project names appear in WEGC catalog and should collapse to one group","Request broker terms, active project list, lead protection and commission schedule",needs_named_partner_contact
16,PHK-024,Habitat Group,https://www.habitatgroup.co.th/,official developer route,"Credible developer group; channel terms not yet mapped","Request partner/broker manager, Phuket inventory, commissions and agreement form",needs_named_partner_contact
17,PHK-033,MontAzure,https://www.montazure.com/,official master-development route,"High-value Kamala master-development and branded residences","Map contracting entities and request distribution/channel owner for saleable residential components",needs_entity_map
18,PHK-018,Fivewood Estate / Annara Residences,https://www.annaragroup.com/,official project/developer route,"Developer identified; useful villa/residence supply candidate","Request agency contact, active units, commission and lead-registration process",needs_named_partner_contact
19,PHK-021,Layan Green Park,https://layan.greenparkphuket.com/,official project route,"Relevant Layan/Bang Tao area supply","Confirm developer legal entity, current inventory and broker programme",needs_entity_and_partner_map
20,PHK-013,The ONE Group,https://theonephuket.com/,official site route,"Additional independent developer candidate after dedupe of project-level rows","Confirm legal entity, current sellable inventory and agency-relations contact before outreach",needs_entity_and_partner_map
