rank,company,city,website,public_contact,priority_tier,contact_status,source_url,checked_at,why_relevant,next_action
51,Бюро недвижимости №1,Екатеринбург,https://bn1.ru/,,B,source_verified_contact_pending,https://bn1.ru/,2026-09-15,"Regional agency in a major million-plus city","Find owner/commercial contact and investment/new-build signal"
52,Дом Недвижимости,Екатеринбург,https://www.domnedv.ru/,,A,source_verified_contact_pending,https://www.domnedv.ru/,2026-09-15,"Established regional agency with broad residential activity","Verify current commercial/owner contact and overseas-property interest"
53,БК_Недвижимость,Екатеринбург,https://bk-n.ru/,,B,source_verified_contact_pending,https://bk-n.ru/,2026-09-15,"Independent regional brokerage candidate","Find decision maker and new-build/investment profile"
54,Города,Новосибирск,https://goroda.pro/,,A,source_verified_contact_pending,https://goroda.pro/,2026-09-15,"Strong regional market and existing client base","Find owner/partnership contact"
55,Агентство недвижимости «Большой город»,Новосибирск,https://bigcity-nsk.ru/,,B,source_verified_contact_pending,https://bigcity-nsk.ru/,2026-09-15,"Independent regional agency in large Siberian market","Find commercial decision maker and overseas-property signal"
56,Мегаполис,Самара,https://megapolis-samara.ru/,,B,source_verified_contact_pending,https://megapolis-samara.ru/,2026-09-15,"Regional agency suitable for international-direction proposition","Find owner/commercial contact"
57,Квартирный вопрос,Самара,https://kvartirny-vopros.ru/,,B,source_verified_contact_pending,https://kvartirny-vopros.ru/,2026-09-15,"Independent Samara agency with local client base","Find direct decision maker"
58,Новый Ростов,Ростов-на-Дону,https://newrostov.ru/,,A,source_verified_contact_pending,https://newrostov.ru/,2026-09-15,"South Russia market with relevant investment audience","Find partnership/commercial owner"
59,Атлас мира недвижимости,Ростов-на-Дону,https://atlas-rnd.ru/,,A,source_verified_contact_pending,https://atlas-rnd.ru/,2026-09-15,"Regional agency in major southern city","Find owner/commercial contact and international direction interest"
60,Красава,Краснодар,https://krasava-realty.ru/,,B,source_verified_contact_pending,https://krasava-realty.ru/,2026-09-15,"Krasnodar resort/investment audience fit","Find decision maker and new-build profile"
61,Аском,Владивосток,https://askom.io/,,A,source_verified_contact_pending,https://askom.io/,2026-09-15,"Far East market is strategically relevant to Asian property demand","Find owner/partnership contact and overseas-property activity"
62,Квартирант Плюс,Владивосток,https://kvartirant.plus/,,A,source_verified_contact_pending,https://kvartirant.plus/,2026-09-15,"Far East regional audience with geographic proximity to Asian markets","Find commercial decision maker"
63,Вершина,Владивосток,https://vershina-dv.ru/,,B,source_verified_contact_pending,https://vershina-dv.ru/,2026-09-15,"Independent Far East agency candidate","Verify owner contact and investment/new-build activity"
64,АРЕВЕРА-Недвижимость,Красноярск,https://arevera.ru/,,A,source_verified_contact_pending,https://arevera.ru/,2026-09-15,"Established agency in large Siberian city","Find owner/commercial contact and overseas interest"
65,ГРАНТА-недвижимость,Красноярск,https://www.granta24.ru/,,B,source_verified_contact_pending,https://www.granta24.ru/,2026-09-15,"Regional agency with relevant client base","Find partnership decision maker"
66,Центр недвижимости Ракурс,Пермь,https://an-rakurs.ru/,,B,source_verified_contact_pending,https://an-rakurs.ru/,2026-09-15,"Regional diversification candidate","Find owner/commercial contact"
