id,market,name,developerBrand,developerGroup,district,propertyTypes,agencyPublisherCount,agencyCoverageStatus,primarySource,agencySources,imageCandidate,mediaStatus,notes
dubai-sobha-one,dubai,Sobha One,Sobha Realty,Sobha Realty,Ras Al Khor,apartment; duplex,2,exact_or_resolved_project_observed,https://sobharealty.com/properties-in-dubai/sobha-one,Whitewill: https://whitewill.ae/ru/buy/sobha-one | Kalinka: https://www.kalinka-realty.ru/zarubezh/zhilye-kompleksy/sobha-one/,https://sobharealty.com/sites/default/files/styles/webp/public/2026-01/Sobha%20One%20Apt.jpg.webp?itok=e-WSXdfL,url_identified_bytes_not_downloaded,
dubai-creek-waters,dubai,Creek Waters,Emaar Properties,Emaar Properties,Dubai Creek Harbour / Creek Island,apartment; townhouse; penthouse,1,exact_or_resolved_project_observed,https://www.emaar.com/en/properties/creek-waters,Whitewill: https://creekwaters.ru/,https://uae-cms.emaar.com/uploads/335866_hero_slide_0_e7c75e3e39.jpg,url_identified_bytes_not_downloaded,Не объединять с отдельным проектом Creek Waters 2.
dubai-damac-riverside,dubai,DAMAC Riverside,DAMAC,DAMAC,Dubai Investments Park 2 / Yalayis,townhouse,1,exact_or_resolved_project_observed,https://www.damacproperties.com/fr-lu/blog/damac-riverside-community-location-map/,AX Capital: https://www.rightmove.co.uk/properties/159259217,,project_gallery_identified_exact_image_pending,"Не смешивать таунхаусы Riverside с апартаментами Riverside Views. Публикация AX Capital размещена на международном портале, не является русскоязычной страницей."
dubai-one-river-point,dubai,One River Point,Dutco Ellington,Dutco / Ellington joint venture,Business Bay,studio; apartment; duplex; penthouse,1,exact_or_resolved_project_observed,https://www.oneriverpoint.ae/,Metropolitan: https://metropolitan.realestate/business-bay/one-river-point/,https://www.oneriverpoint.ae/img/project/homepage/ext1.jpg,url_identified_bytes_not_downloaded,"Совместный бренд Dutco Ellington, не самостоятельное доказательство юридического продавца. Дополнительный источник: https://ellingtonproperties.ae/en/media-center/news/dutco-and-ellington-properties-unveil-a-new-residential-development-one-river-point-under-the-dutco-ellington-brand"
dubai-design-quarter-at-d3,dubai,Design Quarter at d3,Meraas,Dubai Holding,Dubai Design District,apartment,1,exact_or_resolved_project_observed,https://www.dubaiholding.com/en/media-hub/press-releases/meraas-awards-more-than-aed-2-billion-construction-contract-for-design-quarter-at-d3,Whitewill: https://design-quarter-dubai.ru/,,project_gallery_identified_exact_image_pending,"Meraas, Nakheel и Dubai Properties считаются отдельными брендами витрины, но не независимыми корпоративными группами."
dubai-como-residences,dubai,Como Residences,Nakheel,Dubai Holding,Palm Jumeirah,apartment; penthouse,1,exact_or_resolved_project_observed,https://www.nakheel.com/en/new-launches/como-residences,Whitewill: https://whitewill.ae/ru/developments,https://www.nakheel.com/images/nakheelcorporatelibraries/developments/projects/como-residences.jpg?sfvrsn=6940299b_1,url_identified_bytes_not_downloaded,
dubai-binghatti-skyrise,dubai,Binghatti Skyrise,Binghatti,Binghatti,Business Bay,studio; apartment,3,exact_or_resolved_project_observed,https://www.binghatti.com/en-uk/projects/binghatti-Skyrise,Lelia: https://leliarealestate.com/zhk/binghatti-skyrise | Belcato: https://belcato.com/ru/off-plan/project/binghatti-skyrise | Metropolitan: https://metropolitan.realestate/ru/business-bay/binghatti-skyrise/,,project_gallery_identified_exact_image_pending,
dubai-bayz-102,dubai,BAYZ 102,Danube Properties,Danube Properties,Business Bay,studio; apartment; penthouse,2,exact_or_resolved_project_observed,https://danubeproperties.com/portfolio/bayz102/,Lelia: https://leliarealestate.com/zhk/bayz-102 | First Bridge: https://firstbridge.co/complex/bayz-102-en/,https://danubeproperties.com/wp-content/uploads/2024/09/2-4.jpg,url_identified_bytes_not_downloaded,
dubai-azizi-venice,dubai,Azizi Venice,Azizi Developments,Azizi Developments,Dubai South,apartment,2,exact_or_resolved_project_observed,https://www.kone.com/global/en/newsroom/releases/2025/kone-to-equip-the-azizi-venice-residential-complex-in-dubai-south-2025-03-10.html,Whitewill: https://azizi-venice.ru/ | JRE: https://jre.ae/projects/azizi-venice,,project_gallery_identified_exact_image_pending,Независимое первичное подтверждение проекта — релиз поставщика KONE; он не подтверждает наличие квартир и право МИРА на продажу.
dubai-six-senses-residences-dubai-marina,dubai,Six Senses Residences Dubai Marina,Select Group,Select Group,Dubai Marina,apartment; duplex; penthouse,1,exact_or_resolved_project_observed,https://www.select-group.ae/developments/six-senses-residences-dubai-marina,Whitewill: https://whitewill.ae/ru/developments,https://cdn.prod.website-files.com/63bd7443c5c4c66606ad6362/66261544f89fdd8c3123f7fe_crop%20%282%29.jpg,url_identified_bytes_not_downloaded,
