id,project_name,developer_brand,corporate_family,legal_seller,location,property_formats,fact_status,primary_source_urls,agency_observation_urls,missing_fields,duplicate_key,commercial_status,commerciallyEnabled
me-boka-place,Boka Place,Porto Montenegro,,,Tivat / Porto Montenegro,apartments; duplexes; penthouses,complete_for_discovery,https://portomontenegro.com/me/real-estate/boka-place/,https://prian.ru/price/montenegro-11792-4077532.html,legal_seller; publication_rights_for_media,montenegro|porto-montenegro|boka-place,research_only,False
me-vero-versa,Vero & Versa,Porto Montenegro,,,Tivat / Porto Montenegro,studios; apartments,complete_for_discovery,https://portomontenegro.com/me/real-estate/vero-versa/; https://realestate.portomontenegro.com/me/,https://montenegrorealestate.nl/luxury-apartments-vero-and-versa-porto-montenegro,legal_seller; exact_russian_language_agency_observation; publication_rights_for_media,montenegro|porto-montenegro|vero-versa,research_only,False
me-the-peaks,The Peaks,Luštica Bay,Orascom Development / Government of Montenegro JV,Luštica Development AD,Luštica peninsula / Tivat municipality,apartments; townhouses; villas,complete_for_discovery,https://www.lusticabaythepeaks.com/; https://about.lusticabay.com/about,https://mdrealty.me/ru/projects/lustica-bay-montenegro; https://mdrealty.me/en/projects/the-peaks-lustica-bay,publication_rights_for_media,montenegro|lustica-bay|the-peaks,research_only,False
me-heights-lustica,Heights,Luštica Bay,Orascom Development / Government of Montenegro JV,Luštica Development AD,Luštica Bay / between golf area and town centre,studios; apartments; penthouses,partial_for_validation,https://realestate.lusticabay.com/; https://about.lusticabay.com/about,https://www.ekapija.com/me/news/5200205/heights,exact_russian_language_agency_observation; project_specific_primary_page; publication_rights_for_media,montenegro|lustica-bay|heights,research_only,False
me-portonovi-residences,Portonovi Residences,Portonovi,Azmont Investments,,Kumbor / Herceg Novi / Boka Bay,apartments; penthouses; townhouses; villas,complete_for_discovery,https://portonovi.com/en/residences; https://portonovi.com/en/news/portonovi-receives-chamber-commerce-award-second-consecutive-year,https://mdrealty.me/ru/properties/portonovi,legal_seller; publication_rights_for_media,montenegro|portonovi|residences,research_only,False
me-oneonly-private-homes,One&Only Private Homes Portonovi,Portonovi / One&Only,Azmont Investments,,Portonovi / Kumbor / Herceg Novi,branded waterfront villas,complete_for_discovery,https://portonovi.com/en/oneonly-resort; https://portonovi.com/en/residences,https://mdrealty.me/ru/properties/portonovi,legal_seller; publication_rights_for_media,montenegro|portonovi|oneandonly-private-homes,research_only,False
me-dukley-gardens,Dukley Gardens,Dukley,Dukley,,Zavala peninsula / Budva,apartments; residences,complete_for_discovery,https://www.dukleygardens.com/,https://prian.ru/price/montenegro-9801-3804508.html,legal_seller; publication_rights_for_media,montenegro|dukley|dukley-gardens,research_only,False
me-mountain-retreat-dukley,Mountain Retreat by Dukley,Dukley,Dukley,,Bjelasica / Kolašin area,chalets; lofts,partial_for_validation,https://dukley.com/estate/mountain-retreat-by-dukley/,,independent_russian_language_agency_observation; current_sales_status; legal_seller; publication_rights_for_media,montenegro|dukley|mountain-retreat,research_only,False
me-melia-private-residences-budva,Meliá Private Residences Budva,SUNRAF,SUNRAF / Meliá branded operation,,Bečići / Budva Riviera,studios; apartments; branded residences,complete_for_discovery,https://meliabudva.com/about-us,https://realestateinmontenegro.com/project/melia-private-residences-becici-montenegro/,legal_seller; exact_russian_language_agency_observation; publication_rights_for_media,montenegro|sunraf|melia-private-residences-budva,research_only,False
me-merit-starlit,Merit Starlit Hotel & Residence,Merit International,Merit International,,Budva,hotel rooms; one-bedroom residences; two-bedroom residences,partial_for_validation,https://meritstarlit.com/en/rezidanslar,,independent_russian_language_agency_observation; legal_seller; current_sales_status; publication_rights_for_media,montenegro|merit-international|merit-starlit,research_only,False
me-bellemond-residence,Bellemond Residence,Bellemond Residence,,,Bečići / Budva Riviera,apartments,partial_for_validation,https://bellemondresidence.me/,https://realting.com/ru/montenegro/property/1755471,verified_developer_legal_entity; legal_seller; publication_rights_for_media,montenegro|bellemond|bellemond-residence,research_only,False
me-porto-budva,Porto Budva,Budva Investment Montenegro,Budva Investment Montenegro,,Central Budva,apartments; commercial units,partial_for_validation,https://www.portobudvaestate.me/en/about-us/; https://portobudvaestate.me/ru/about-us/,,independent_agency_observation; legal_seller; current_construction_and_delivery_status; publication_rights_for_media,montenegro|budva-investment-montenegro|porto-budva,research_only,False
me-poljana-olive-homes,Poljana Olive Homes Pool Residence,Montenegrimmo,Montenegrimmo D.O.O.,,Poljana / Budva Riviera near Sveti Stefan,townhouses; private-pool houses,partial_for_validation,https://montenegrimmo.com/; https://poljana-olive-homes.com/,,independent_agency_observation; legal_seller; publication_rights_for_media,montenegro|montenegrimmo|poljana-olive-homes,research_only,False
me-kotor-bayview,Kotor Bayview Residence,ARS Intertrade,,,Muo / Kotor Bay,one-bedroom apartments; two-bedroom apartments; three-bedroom suites,partial_for_validation,https://www.kotorbayview.com/,,independent_russian_language_agency_observation; legal_seller; publication_rights_for_media,montenegro|ars-intertrade|kotor-bayview,research_only,False
me-montis-mountain-resort,Montis Mountain Resort by Splendid,Golden Group,Golden Group / Splendid operating partnership,,Kolašin,condo-hotel suites; hotel investment units,partial_for_validation,https://goldengroup.me/montis-mountain-resort/; https://goldengroup.me/montis-mountain-resort-by-splendid/,https://hotelmontis.ru/,current_project_status; current_sales_status; legal_seller; independent_agency_observation; publication_rights_for_media,montenegro|golden-group|montis-mountain-resort,research_only,False
