company,city,primary_segment,secondary_signal,pitch_mode,readiness,evidence_note
Грановит,Новосибирск,newbuild_regional,named_owner,open_international_direction,ready_for_owner_review,"Director-level route + developer/bank/agent partnership evidence; foreign-property status still needs confirmation."
Визит,Самара,newbuild_regional,named_newbuild_head,open_international_direction,ready_for_owner_review,"Named head of new-builds with direct email/extension."
Орбита 72,Тюмень,newbuild_regional,named_commercial_leadership,open_international_direction,ready_for_owner_review,"Commercial director + new-build partner signal."
Новые Дома,Пермь,newbuild_regional,named_owner,open_international_direction,ready_for_owner_review,"Owner-level route and explicit new-build positioning."
АВЕСТА-РИЭЛТ,Омск,newbuild_regional,named_ceo_and_newbuild_head,open_international_direction,ready_for_owner_review,"CEO + dedicated new-build leader."
Новый Город,Тюмень,premium_investment,named_ceo,premium_phuket_direction,ready_for_owner_review,"CEO-level route and premium-property specialization; foreign desk not yet confirmed."
Квартсервис,Омск,newbuild_regional,named_ceo_and_commercial_director,open_international_direction,ready_for_owner_review,"Named CEO/cofounder and commercial director."
ЛЕДОН,Омск,newbuild_regional,named_ceo,open_international_direction,ready_for_owner_review,"CEO route + active new-build signal."
Дом Недвижимости,Екатеринбург,segment_pending_fit,named_management,qualification_first,ready_for_owner_review,"Named deputy director direct route; actual ownership of new supply / overseas direction needs qualification."
ИНКОМ-Недвижимость,Москва,newbuild_large,named_newbuild_director,enterprise_supply_pitch,fit_check_then_owner_review,"Named director of New Buildings and developer-sales B2B route."
Города,Новосибирск,network_platform,founder_signal,network_activation_pitch,fit_check_then_owner_review,"Founder / federal-system signal; needs network-level partnership owner."
АРЕВЕРА-Недвижимость,Красноярск,regional_large,named_executive,open_international_direction,fit_check_then_owner_review,"Named executive signal and established regional scale."
ГРАНТА-недвижимость,Красноярск,segment_pending_fit,named_department_head,qualification_first,fit_check_then_owner_review,"Direct senior commercial-property contact; new-build/partnership owner still pending."
1-я Гильдия недвижимости,Оренбург,newbuild_regional,strong_b2b_general_route,open_international_direction,strong_b2b_general_route,"Developer cooperation/exclusive-broker signal; named owner still pending."
МИЭЛЬ,Москва,network_platform,formal_partner_franchise_route,hq_supply_partnership,strong_partner_route_fit_pending,"Formal partner/franchise route; MIRA fit outside franchise scope requires qualification."
Метриум,Москва,premium_investment,strong_b2b_general_route,enterprise_supply_pitch,strong_b2b_general_route,"Professional-market cooperation + new-build/investment positioning."
