agency_id,rank,company,city,website,segment,segmentation_basis,inherited_segment,overseas_status,greenfield_confirmed,pitch_mode,live_reviewed,review_join,decision_route_signal,readiness,owner_review_wave,send_status,source_url,source_checked_at,review_source_path,evidence_note,next_action
RU-A-43952470a8d3,1,МИЭЛЬ,Москва,https://miel.ru,network_franchise_platform,inherited_live_review,network_platform,unknown,false,hq_network_pilot,true,company_city,formal_partner_franchise_route,strong_partner_route_fit_pending,false,not_approved,https://miel.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Formal partner/franchise route; MIRA fit outside franchise scope requires qualification.,Find commercial/partnership owner and foreign-property decision maker
RU-A-560e47ac1729,2,ИНКОМ-Недвижимость,Москва,https://www.incom.ru,large_new_build,inherited_live_review,newbuild_large,unknown,false,new_build_extension_fit,true,company_city,named_newbuild_director,fit_check_then_owner_review,false,not_approved,https://www.incom.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Named director of New Buildings and developer-sales B2B route.,Verify commercial/partnership contact and overseas-property activity
RU-A-fedffa1b712e,3,БЕСТ-Недвижимость,Москва,https://www.best-realty.ru,hold_segment_fit,inherited_live_review,regional_large,unknown,false,qualification_first,true,company_city,central_office_network,public_contact_verified,false,not_approved,https://www.best-realty.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Active office network; MIRA-relevant named decision maker pending.,Find owner/commercial contact and overseas-property activity
RU-A-e8cfb0401241,4,Метриум,Москва,https://www.metrium.ru,premium_investment,inherited_live_review,premium_investment,unknown,false,premium_phuket_fit,true,company_city,strong_b2b_general_route,strong_b2b_general_route,false,not_approved,https://www.metrium.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Professional-market cooperation + new-build/investment positioning.,Find B2B/commercial owner and assess international desk
RU-A-a8fc0c159e6e,5,Бон Тон,Москва,https://www.bonton.ru,regional_new_build_candidate,source_cohort_signal_only,,unknown,false,new_build_fit_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://www.bonton.ru,2026-09-15,,New-build sales specialization fits overseas extension proposition,Find partnership/commercial contact
RU-A-b1ab758f4435,6,НДВ,Москва,https://www.ndv.ru,large_new_build,inherited_live_review,newbuild_large,unknown,false,new_build_extension_fit,true,company_city,strong_general_route,strong_general_route,false,not_approved,https://www.ndv.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Large new-build sales operation; partnership owner and foreign status pending.,Find partnership owner and foreign-property status
RU-A-946aa65f8e4f,7,Азбука Жилья,Москва,https://azbuka.ru,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://azbuka.ru,2026-09-15,,Broad residential agency and existing client base,Find direct commercial contact
RU-A-ce285f816869,8,Point Estate,Москва,https://pointestate.ru,premium_investment,inherited_live_review,premium_investment,unknown,false,premium_phuket_fit,true,company_city,strong_general_route,strong_general_route,false,not_approved,https://pointestate.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Premium/investment audience; owner/commercial partnership contact pending.,Find owner/partnership contact and international activity
RU-A-d77872810e28,9,Самолет Плюс,Москва,https://samoletplus.ru,network_franchise_platform_candidate,source_cohort_signal_only,,unknown,false,hq_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://samoletplus.ru,2026-09-15,,Large distributed network; strategic distribution potential,Identify central partnership decision maker rather than branches
RU-A-09c9c39454ec,10,Адвекс,Санкт-Петербург,https://www.advecs.com,network_franchise_platform_candidate,source_cohort_signal_only,,unknown,false,hq_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://www.advecs.com,2026-09-15,,Established St Petersburg network with broad client base,Find commercial/partnership owner
RU-A-c7ba174a35f9,11,Петербургская Недвижимость,Санкт-Петербург,https://www.pn.ru,large_new_build,inherited_live_review,newbuild_large,unknown,false,new_build_extension_fit,true,company_city,strong_general_route,strong_general_route,false,not_approved,https://www.pn.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Strong new-build distribution brand; named partnership owner pending.,Find partnership owner and assess overseas direction
RU-A-3ba6f99764a6,12,Новосёл,Екатеринбург,https://novosel.ru,hold_entity_resolution,inherited_live_review,hold_entity_resolution,unknown,false,qualification_first,true,company_city,named_ceo_and_partner_signal,hold_entity_resolution,false,not_approved,https://novosel.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Strong CEO/partner route but old-vs-current domain must be resolved before outreach.,Find owner/commercial contact and new-build strength
RU-A-30f963ae0706,13,ЖИЛФОНД,Новосибирск,https://jilfond.ru,network_franchise_platform,inherited_live_review,network_platform,unknown,false,hq_network_pilot,true,company_city,large_office_network,network_central_owner_needed,false,not_approved,https://jilfond.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Central owner required; branches must not be treated as separate companies.,Find central partnership owner and avoid branch duplication
