company,city,website,route_type,named_contact_or_role,email,phone,foreign_property_signal,partnership_signal,source_url,checked_at,status,next_action
Городской Риэлторский Центр,Сочи,https://grc-sochi.ru/,named_partner_and_development_leadership,"Юлия Усачева — генеральный директор; Ольга Чернышева — руководитель по работе с партнерами / директор по развитию",info@grc-sochi.ru,"8 800 100-71-91; Ольга Чернышева +7 929 828-00-70",unknown,"Official team/contact pages expose a named partner/development leader and CEO; this is a strong routing signal for a B2B proposition.",https://grc-sochi.ru/contacts/,2026-09-16,named_partnership_role_verified,"Promote to owner-review wave; prepare a Sochi/resort-agency version focused on adding Phuket without giving up the client relationship."
Вектор-Недвижимость,Ярославль,https://vektor.life/,central_company_owner_signal,"current site legal-owner signal: ИП Набирухина О.С.; named partnership owner not yet confirmed",vektor.life@mail.ru,+7 4942 50-21-69,unknown,"Official current site confirms active multi-city real-estate company, new-builds and central corporate route.",https://vektor.life/,2026-09-16,public_company_route_verified,"Find current business-development/partnership decision maker and verify Yaroslavl-specific route before outreach."
Панорама недвижимости,Тюмень,https://www.ndv72.ru/,central_company_contact,"general company route",unknown,"+7 3452 670-777; 8 800 3000-140","Official current navigation explicitly includes «Недвижимость в Турции».","Active regional agency with new-build and existing foreign-property signal; named decision maker not found in this pass.",https://www.ndv72.ru/,2026-09-16,existing_foreign_property_signal_verified,"Do not use greenfield pitch. Find owner/commercial lead and understand current Turkey/foreign partner model; position MIRA as infrastructure expansion."
Рост Недвижимость,Сочи,https://rost-sochi.ru/,central_sales_and_partner_route,"general sales route; current team exposes named brokers but no partnership owner in this pass",info@rost-sochi.ru,"+7 862 555-1-555; 8 800 777-82-72",unknown,"Official site has a dedicated «Партнерам» navigation route, new-build inventory, sales department and current team pages.",https://rost-sochi.ru/kontakty,2026-09-16,strong_b2b_general_route,"Open/inspect partner route and identify commercial/partnership owner before owner-review promotion."
Центр недвижимости,Тюмень,https://newflat72.ru/,named_leadership_route,"Устюгов Алексей Валерьевич — руководство",Ustyugov72@bk.ru,"+7 922 264-01-98; central +7 3452 607-937",unknown,"Official staff page publishes a named leadership contact; company page lists multiple developer partners and new-build inventory.",https://newflat72.ru/kompanija/sotrudniki/,2026-09-16,named_leadership_contact_verified,"Promote to owner review after foreign-property check; prepare regional new-build direction pitch."
Центр недвижимости Ракурс,Пермь,https://an-rakurs.ru/,central_newbuild_company_route,"general company route",info@an-rakurs.ru,+7 342 204-38-31,unknown,"Official current site has extensive new-build/complex inventory and a separate agency-rules route; named commercial owner not found in checked page.",https://an-rakurs.ru/,2026-09-16,strong_newbuild_general_route,"Inspect agency rules / company page for decision owner; qualify overseas-property activity."
Квартирант Плюс,Владивосток,https://kvartirant.plus/,named_ceo_and_sales_leadership,"Пересыпкин Сергей Андреевич — генеральный директор; Алехнович Марина Анатольевна — руководитель отдела купли-продажи; Еремеев Алексей Алексеевич — исполнительный директор",arenda@kvartirant.plus,"8 423 290-00-22; sales-leadership public numbers on official team page","Official current site directly advertises sale of property in Phuket and links to a Thailand property subsite.","Named leadership routes plus an existing Phuket/Thailand direction make this a high-value strategic account and benchmark, not a greenfield overseas prospect.",https://kvartirant.plus/,2026-09-16,existing_phuket_direction_named_leadership_verified,"Promote to strategic owner review. Map current Thailand supply/commission/partner model and pitch MIRA as broader developer/transaction infrastructure, not as first overseas direction."
СОТА,Воронеж,https://snsota.ru/,active_network_general_route,"general company route; named legal/office specialists visible, but B2B owner not isolated in this pass",unknown,unknown,unknown,"Official site states cooperation with all city developers, nine offices and own training center; dedicated external partnership owner not yet identified.",https://snsota.ru/,2026-09-16,strong_regional_newbuild_signal,"Find CEO/commercial/new-build leader and qualify international-property activity before owner-review promotion."
Новый адрес,Воронеж,https://nov-adres.ru/,entity_resolution_hold,"current active market presence exists, but checked first-party site appears stale and current legal/office identity differs across sources",nov_adress@mail.ru,+7 473 240-90-33,unknown,"Older first-party route and current marketplace presence support activity, but canonical entity/domain continuity is not clean enough for direct outreach.",https://xn----8sbekf7bhuk.xn--p1ai/,2026-09-16,hold_entity_resolution,"Resolve current legal operator, canonical official site and decision maker before any promotion."
Доверие,Омск,https://www.doverie-omsk.ru/,secondary_live_presence_hold,"current legal entity signal: ООО «ДОВЕРИЕ»; named owner/manager not verified from first-party source in this pass",unknown,unknown,unknown,"Current marketplace records show active office/team and transactions, while official domain was not retrievable in this runtime.",https://agencies.domclick.ru/agency/203382,2026-09-16,hold_first_party_contact_verification,"Recheck official domain and named management route; do not use directory contact as partnership contact."
РИО-ЛЮКС,Самара,https://rio-lux.ru/,secondary_live_presence_hold,"general agency presence; named owner/partnership route not verified",unknown,unknown,unknown,"Current marketplace record confirms an operating agency profile and long-standing real-estate specialization; official site was not retrievable in this pass.",https://www.cian.ru/company/49648035/,2026-09-16,hold_first_party_contact_verification,"Recheck official domain, extract current central contact and decision maker before promotion."
