country,company,city,website,official_source,email,phone,specialization,international_focus,mira_priority,evidence_note,checked_at,verification_status,source_type
Кыргызстан,Этажи (Бишкек),Бишкек,https://bishkek.etagi.com/,https://bishkek.etagi.com/,Unknown,Unknown,"покупка, продажа, аренда, обмен; жилые и нежилые объекты",Зарубежная недвижимость не подтверждена на официальном сайте,B,"Официальный локальный сайт Этажи описывает агентство, брокерское и юридическое сопровождение в Бишкеке; direct partnership contact не указан.",2026-09-15,verified_official_site,first_party_official
Кыргызстан,Кыргыз Недвижимость,Бишкек,https://ned.kg/en/,https://ned.kg/en/,kyrgyz.ned@gmail.com,+996501660066,"покупка, продажа, аренда жилой и коммерческой недвижимости",Зарубежная недвижимость не подтверждена,B,"Официальный сайт публикует название, контакты, адрес офиса в Бишкеке и услуги агентства.",2026-09-15,verified_official_site,first_party_official
Кыргызстан,Агентство недвижимости Площадь,Бишкек,https://an.kg/,https://an.kg/,Unknown,Unknown,покупка и аренда жилой/коммерческой недвижимости,Зарубежная недвижимость не подтверждена,B,"Официальный сайт заявляет агентство, офис в Бишкеке и каталог объектов; partnership contact не указан.",2026-09-15,verified_official_site,first_party_official
Кыргызстан,Дипломат,Бишкек,https://www.diplomat.kg/,https://www.diplomat.kg/ocenka-nedvizhimosti,diplomatosoo@gmail.com,+996505005200,"вторичная недвижимость, дома и участки, коммерческая недвижимость, элитные объекты",Зарубежная недвижимость не подтверждена,B,"Официальный сайт публикует услуги, адрес, email и телефон агентства в Бишкеке.",2026-09-15,verified_official_site,first_party_official
Кыргызстан,Авангард Недвижимость,Бишкек,https://anavg.kg/home,https://anavg.kg/home,Unknown,Unknown,продажа недвижимости и юридическое сопровождение,Зарубежная недвижимость не подтверждена,B,"Официальный сайт заявляет агентство, сертифицированных риелторов и работу в Бишкеке.",2026-09-15,verified_official_site,first_party_official
Грузия,Makler.ge,Тбилиси,https://www.makler.ge/en,https://www.makler.ge/en,info@makler.ge,+995322471020,"продажа, покупка и аренда жилой и коммерческой недвижимости",Работа с иностранными клиентами не подтверждена отдельной партнёрской программой,B,"Официальный сайт недвижимости в Тбилиси публикует услуги, email и телефоны; partnership terms не указаны.",2026-09-15,verified_official_site,first_party_official
Грузия,Tbilisi Home,Тбилиси,https://tbilisihome.ge/,https://tbilisihome.ge/,Unknown,Unknown,"покупка, продажа, аренда и property management; residential/commercial","Сайт прямо упоминает locals, expats and investors",A,Официальный сайт описывает full-service real estate agency в Тбилиси; direct broker contact требует ручной проверки.,2026-09-15,verified_official_site,first_party_official
Грузия,MBG Group,Тбилиси,https://www.mbg.ge/en,https://www.mbg.ge/en,[email protected],+995322121777,продажа и инвестиции в недвижимость; premium portfolio,Работа с иностранными инвесторами заявлена в официальном контенте,A,"Официальный сайт публикует агентство, email и телефоны; агентская программа не опубликована.",2026-09-15,verified_official_site,first_party_official
Грузия,BD Realty,Тбилиси/Батуми,https://bdgroup.ge/en/,https://bdgroup.ge/en/,Unknown,Unknown,"покупка, продажа и инвестиции в недвижимость Грузии; property advisory",Да; официальный сайт позиционирует международное агентство и работу с Тбилиси/Батуми,A,Официальный сайт агентства с international real estate positioning; commission/lead registration требуют контакта.,2026-09-15,verified_official_site,first_party_official
Грузия,PB Property,Тбилиси/Батуми,https://pbproperty.ge/,https://pbproperty.ge/,Unknown,Unknown,"покупка, due diligence, rental management, renovation management",Иностранные покупатели не подтверждены отдельным разделом,B,Официальный сайт публикует набор услуг агентства и работу в Тбилиси/Батуми.,2026-09-15,verified_official_site,first_party_official
Грузия,RI.GE,Грузия,https://ri.ge/,https://ri.ge/,Unknown,Unknown,"покупка, legal support, design and renovation недвижимости",Работа с клиентами по покупке в Грузии заявлена,B,Официальный сайт прямо описывает real estate agency и комплекс услуг; partnership contact не указан.,2026-09-15,verified_official_site,first_party_official
Грузия,Tbilisi Property,Тбилиси/Батуми,https://tbilisi-property.com/,https://tbilisi-property.com/,Unknown,Unknown,"продажа, аренда, renovation и property management",Работа с иностранными клиентами не подтверждена,B,Официальный сайт заявляет агентство и полный набор услуг в Тбилиси и Батуми.,2026-09-15,verified_official_site,first_party_official
