agency_id,country,company,city,website,domain,segment,message_hypothesis,cta,status,source,checked_at,email_from_source,phone_from_source,opt_out,next_action,notes
agency-www-t-s-by,Беларусь,Твоя столица,Минск,https://www.t-s.by/,www.t-s.by,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://www.t-s.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-minsk-etagi-com,Беларусь,Этажи (Минск),Минск,https://minsk.etagi.com/,minsk.etagi.com,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://etagy.by/,2026-09-15,reklama@minsk.etagi.com,+375 (29) 643-37-32,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-m2-by,Беларусь,Квадратный метр,Минск,https://m2.by/ru,m2.by,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://m2.by/ru,2026-09-15,Unknown,+375 33 399-55-99,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-centr7a-by,Беларусь,Центр международной недвижимости Моя 7Я,Минск,https://centr7a.by/,centr7a.by,A,H1: расширение международного ассортимента под брендом агентства; клиент остаётся у агентства,Предложить 15-минутный созвон или прислать стартовый каталог Пхукета,queued,https://centr7a.by/,2026-09-15,reklama.intl@centr7a.by,+375 44 519-61-96,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-anpartner-by,Беларусь,Партнер для всех,Минск/Минская область,https://anpartner.by/,anpartner.by,C,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://anpartner.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-www-an7-by,Беларусь,7 этажей,Минск/Минская область,https://www.an7.by/,www.an7.by,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://www.an7.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-yghome-by,Беларусь,YG HOME,Минск,https://yghome.by/,yghome.by,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://yghome.by/,2026-09-15,info@yghome.by,+375 (29) 325-75-75,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-avangard-n-by,Беларусь,Авангард Недвижимость,Минск/пригород,https://avangard-n.by/,avangard-n.by,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://avangard-n.by/agency/about-us/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-garantiruem-by,Беларусь,Гарант Недвижимость,Минск,https://garantiruem.by/,garantiruem.by,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://garantiruem.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-tmaentak-by,Беларусь,Твой Маёнтак,Минск/Минская область,https://tmaentak.by/,tmaentak.by,C,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://tmaentak.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
