city_id,city,segment,target_min_agencies,canonical_candidates,verified_suitable,remaining_to_minimum,official_population_status,research_status
"RU-CITY-001","Саратов","core_300k_to_1m","10","15","10","0","blocked_official_source","minimum_met_fields_incomplete"
"RU-CITY-002","Тюмень","core_300k_to_1m","10","6","0","10","pending","queued"
"RU-CITY-003","Тольятти","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-004","Махачкала","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-005","Барнаул","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-006","Ижевск","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-007","Хабаровск","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-008","Ульяновск","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-009","Иркутск","core_300k_to_1m","10","2","0","10","pending","queued"
"RU-CITY-010","Владивосток","core_300k_to_1m","10","6","0","10","pending","queued"
"RU-CITY-011","Ярославль","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-012","Ставрополь","core_300k_to_1m","10","2","0","10","pending","queued"
"RU-CITY-013","Набережные Челны","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-014","Томск","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-015","Балашиха","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-016","Кемерово","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-017","Оренбург","core_300k_to_1m","10","3","0","10","pending","queued"
"RU-CITY-018","Новокузнецк","core_300k_to_1m","10","2","0","10","pending","queued"
"RU-CITY-019","Рязань","core_300k_to_1m","10","3","0","10","pending","queued"
"RU-CITY-020","Чебоксары","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-021","Калининград","core_300k_to_1m","10","2","0","10","pending","queued"
"RU-CITY-022","Пенза","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-023","Липецк","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-024","Киров","core_300k_to_1m","10","7","0","10","pending","queued"
"RU-CITY-025","Астрахань","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-026","Тула","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-027","Сочи","core_300k_to_1m","10","13","0","10","pending","queued"
"RU-CITY-028","Улан-Удэ","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-029","Курск","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-030","Сургут","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-031","Тверь","core_300k_to_1m","10","2","0","10","pending","queued"
"RU-CITY-032","Магнитогорск","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-033","Грозный","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-034","Якутск","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-035","Брянск","core_300k_to_1m","10","2","0","10","pending","queued"
"RU-CITY-036","Иваново","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-037","Владимир","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-038","Чита","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-039","Нижний Тагил","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-040","Калуга","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-041","Белгород","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-042","Подольск","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-043","Волжский","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-044","Вологда","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-045","Смоленск","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-046","Саранск","core_300k_to_1m","10","1","0","10","pending","queued"
"RU-CITY-047","Курган","core_300k_to_1m","10","0","0","10","pending","queued"
"RU-CITY-048","Череповец","extension_250k_to_300k","10","0","0","10","pending","queued"
"RU-CITY-049","Архангельск","extension_250k_to_300k","10","1","0","10","pending","queued"
"RU-CITY-050","Владикавказ","extension_250k_to_300k","10","0","0","10","pending","queued"
"RU-CITY-051","Нижневартовск","extension_250k_to_300k","10","0","0","10","pending","queued"
"RU-CITY-052","Орёл","extension_250k_to_300k","10","0","0","10","pending","queued"
"RU-CITY-053","Йошкар-Ола","extension_250k_to_300k","10","1","0","10","pending","queued"
"RU-CITY-054","Стерлитамак","extension_250k_to_300k","10","0","0","10","pending","queued"
"RU-CITY-055","Мытищи","extension_250k_to_300k","10","0","0","10","pending","queued"
"RU-CITY-056","Кострома","extension_250k_to_300k","10","0","0","10","pending","queued"
"RU-CITY-057","Мурманск","extension_250k_to_300k","10","1","0","10","pending","queued"
"RU-CITY-058","Новороссийск","extension_250k_to_300k","10","0","0","10","pending","queued"
"RU-CITY-059","Химки","extension_250k_to_300k","10","0","0","10","pending","queued"
"RU-CITY-060","Тамбов","extension_250k_to_300k","10","1","0","10","pending","queued"
"RU-CAP-1","Москва","capital_separate","10","11","0","10","pending","queued"
"RU-CAP-2","Санкт-Петербург","capital_separate","10","3","0","10","pending","queued"
