entity_type,name,location,country,website,contact,source,discovered_at,status
agency,МИЭЛЬ,Москва,Russia,https://miel.ru,,https://miel.ru,2026-09-15T19:14:11Z,discovered
agency,ИНКОМ-Недвижимость,Москва,Russia,https://www.incom.ru,+7 495 363-10-10,https://www.incom.ru,2026-09-15T19:14:11Z,discovered
agency,БЕСТ-Недвижимость,Москва,Russia,https://www.best-realty.ru,,https://www.best-realty.ru,2026-09-15T19:14:11Z,discovered
agency,Метриум,Москва,Russia,https://www.metrium.ru,,https://www.metrium.ru,2026-09-15T19:14:11Z,discovered
agency,Бон Тон,Москва,Russia,https://www.bonton.ru,,https://www.bonton.ru,2026-09-15T19:14:11Z,discovered
agency,НДВ,Москва,Russia,https://www.ndv.ru,,https://www.ndv.ru,2026-09-15T19:14:11Z,discovered
agency,Азбука Жилья,Москва,Russia,https://azbuka.ru,,https://azbuka.ru,2026-09-15T19:14:11Z,discovered
agency,Intermark Real Estate,Москва,Russia,https://intermark.ru,,https://intermark.ru,2026-09-15T19:14:11Z,discovered
agency,Kalinka Realty,Москва,Russia,https://kalinka-realty.ru,,https://kalinka-realty.ru,2026-09-15T19:14:11Z,discovered
agency,Whitewill,Москва,Russia,https://whitewill.ru,,https://whitewill.ru,2026-09-15T19:14:11Z,discovered
agency,Point Estate,Москва,Russia,https://pointestate.ru,,https://pointestate.ru,2026-09-15T19:14:11Z,discovered
agency,Tranio,Москва,Russia,https://tranio.ru,,https://tranio.ru,2026-09-15T19:14:11Z,discovered
agency,Этажи,Санкт-Петербург,Russia,https://spb.etagi.com,,https://spb.etagi.com,2026-09-15T19:14:11Z,discovered
agency,Адвекс,Санкт-Петербург,Russia,https://www.advecs.com,,https://www.advecs.com,2026-09-15T19:14:11Z,discovered
agency,Петербургская Недвижимость,Санкт-Петербург,Russia,https://www.pn.ru,,https://www.pn.ru,2026-09-15T19:14:11Z,discovered
agency,Бекар,Санкт-Петербург,Russia,https://bekar.ru,,https://bekar.ru,2026-09-15T19:14:11Z,discovered
agency,Александр Недвижимость,Санкт-Петербург,Russia,https://www.an-3.ru,,https://www.an-3.ru,2026-09-15T19:14:11Z,discovered
agency,Новосёл,Екатеринбург,Russia,https://novosel.ru,,https://novosel.ru,2026-09-15T19:14:11Z,discovered
agency,ЖИЛФОНД,Новосибирск,Russia,https://jilfond.ru,,https://jilfond.ru,2026-09-15T19:14:11Z,discovered
agency,Перспектива24,Казань,Russia,https://perspektiva24.com,,https://perspektiva24.com,2026-09-15T19:14:11Z,discovered
agency,ФЛЭТ,Казань,Russia,https://flatestate.ru,,https://flatestate.ru,2026-09-15T19:14:11Z,discovered
agency,АЯКС,Краснодар,Russia,https://аякс-рф.рф,,https://аякс-рф.рф,2026-09-15T19:14:11Z,discovered
agency,Лендлорд,Ростов-на-Дону,Russia,https://landlord.ru,,https://landlord.ru,2026-09-15T19:14:11Z,discovered
agency,Самолет Плюс,Москва,Russia,https://samoletplus.ru,,https://samoletplus.ru,2026-09-15T19:14:11Z,discovered
