id,country,city,brand,legal_name,official_domain,contact_page,published_general_email,business_segment,overseas_desk_status,source_status,owner_review_reason,duplicate_group,outreach_status,commercial_status,commerciallyEnabled,source_urls,checked_at
by-chas-pik,Belarus,Minsk,Час-Пик,"ООО ""Час-Пик""",,,, ,real estate agency,unknown,current_chamber_only,Current professional-market evidence; corporate route still missing.,by:chas-pik,not_authorized,research_only,false,https://www.prrb.by/realtors,2026-09-18
by-liga-prava-nedvizhimost,Belarus,Gomel region,Лига права – Недвижимость,ООО «Лига права – Недвижимость»,,,, ,real estate agency,unknown,current_chamber_only,Current professional-market evidence and regional coverage; corporate route still missing.,by:liga-prava-nedvizhimost,not_authorized,research_only,false,https://www.prrb.by/realtors,2026-09-18
by-centr-nedvizhimosti-24-na-7,Belarus,Borisov / Minsk region,Центр недвижимости 24 на 7,ООО «Центр недвижимости 24 на 7»,central-borisov.by,https://central-borisov.by/,,residential real estate agency,not_verified,current_first_party_plus_chamber,Current first-party site plus Chamber evidence; useful Minsk-region coverage.,by:central-borisov.by,not_authorized,research_only,false,https://central-borisov.by/;https://www.prrb.by/realtors,2026-09-18
by-mir-nedvizhimosti,Belarus,,Агентство Мир Недвижимости,ООО «Агентство Мир Недвижимости»,,,, ,real estate agency,unknown,current_chamber_only,Current professional-market evidence; city and corporate route require closure.,by:mir-nedvizhimosti,not_authorized,research_only,false,https://www.prrb.by/realtors,2026-09-18
by-bugrealt,Belarus,Brest / Brest region,Бугриэлт,ООО «Бугриэлт»,bugrealt.by,https://bugrealt.by/,,real estate agency; commercial property signal,unknown,current_chamber_plus_official_route,Regional Brest coverage; official route returned an interstitial/access issue during review.,by:bugrealt.by,not_authorized,research_only,false,https://bugrealt.by/;https://www.prrb.by/realtors,2026-09-18
by-korolevskoe-zhilie,Belarus,,Королевское Жилье,ООО «Королевское Жилье»,,,, ,real estate agency,unknown,current_chamber_only,Current professional-market evidence; corporate route requires closure.,by:korolevskoe-zhilie,not_authorized,research_only,false,https://www.prrb.by/realtors,2026-09-18
by-osnova,Belarus,Gomel,Сектор недвижимости Основа,ОДО «Сектор недвижимости «Основа»,osnova.by,https://osnova.by/,bdl_777@mail.ru,"sale, purchase, exchange and rental real estate services",not_verified,current_first_party_plus_chamber,Strong source quality and Gomel regional coverage.,by:osnova.by,not_authorized,research_only,false,https://osnova.by/;https://www.prrb.by/realtors,2026-09-18
by-absolut-nedvizhimost,Belarus,Minsk,Абсолют Недвижимость,ООО «Абсолют Недвижимость»,aan.by,https://aan.by/contacts/,info@aan.by,real estate agency,not_verified,current_first_party_plus_chamber,Current first-party contact route plus Chamber evidence; strong owner-review candidate.,by:aan.by,not_authorized,research_only,false,https://aan.by/;https://aan.by/contacts/;https://www.prrb.by/realtors,2026-09-18
by-rielt-dom-grupp,Belarus,Bobruisk / Mogilev region,Риэлт дом групп,"ООО ""Риэлт дом групп""",,,, ,real estate agency,unknown,current_chamber_plus_current_marketplace,Current Chamber and active marketplace evidence; useful Bobruisk coverage.,by:rielt-dom-grupp,not_authorized,research_only,false,https://www.prrb.by/realtors;https://re.kufar.by/vi/bobrujsk/kupit/kvartiru/1085077903,2026-09-18
by-assistance-health-realt,Belarus,Bobruisk / Mogilev region,АССИСТАНС ХЭЛС РИЭЛТ,ООО «АССИСТАНС ХЭЛС РИЭЛТ»,rieltor-bobr.by,https://rieltor-bobr.by/,,real estate agency,unknown,current_chamber_plus_route_timeout,Current Chamber evidence and Bobruisk route; first-party retrieval needs retry.,by:rieltor-bobr.by,not_authorized,research_only,false,https://rieltor-bobr.by/;https://www.prrb.by/realtors,2026-09-18
by-artel-nedvizhimost,Belarus,Minsk,Артель Недвижимость,ООО «Артель Недвижимость»,,,, ,real estate agency,unknown,current_chamber_plus_current_marketplace,Current Chamber and marketplace evidence; marketplace profile wording ambiguity requires closure.,by:artel-nedvizhimost,not_authorized,research_only,false,https://www.prrb.by/realtors;https://re.kufar.by/vi/minsk/snyat/kommercheskaya/sfera-uslug/1063732509,2026-09-18
by-ekoreal,Belarus,Minsk / Minsk region,Экореал,"ООО ""Экореал""",,,, ,residential / country real estate agency,unknown,current_chamber_plus_current_marketplace,Current Chamber plus active marketplace evidence.,by:ekoreal,not_authorized,research_only,false,https://www.prrb.by/realtors;https://re.kufar.by/vi/minskij-rajon/kupit/dom/1067157882,2026-09-18
by-sobstvennaya-krysha-estate,Belarus,Minsk / Minsk region,Собственная Крыша Эстейт,"ООО ""Собственная Крыша Эстейт""",,,, ,residential / country real estate agency,unknown,current_chamber_plus_current_marketplace,Current Chamber plus active marketplace evidence.,by:sobstvennaya-krysha-estate,not_authorized,research_only,false,https://www.prrb.by/realtors;https://re.kufar.by/vi/minskaya-oblast/kupit/dom/dacha/1067711488,2026-09-18
by-metrium,Belarus,,Агентство недвижимости Метриум,"ООО ""Агентство недвижимости ""Метриум"""",,,, ,real estate agency,unknown,current_chamber_only,Current Belarus professional-market evidence; distinct from unrelated Russian Metrium brand.,by:metrium-belarus,not_authorized,research_only,false,https://www.prrb.by/realtors,2026-09-18
by-eksklyuziv-group,Belarus,Minsk,Группа компаний Эксклюзив,"ООО ""Группа компаний Эксклюзив""",,,, ,real estate agency,unknown,current_chamber_plus_current_marketplace_entity_hold,Possible entity/rebrand relationship with similarly named older market entities requires closure.,by:eksklyuziv-group,not_authorized,research_only,false,https://www.prrb.by/realtors;https://re.kufar.by/p/ooo-gruppa-kompanij-eksklyuziv/11613643,2026-09-18
by-rielt-center-stolicy,Belarus,Minsk,Риэлтерский центр Столицы,"ООО ""Риэлтерский центр Столицы""",rcs-agency.by,https://rcs-agency.by/,rcsrealt@gmail.com,"apartments, houses, land and commercial real estate",not_verified,current_first_party_plus_chamber,Strong source quality and broad residential/commercial service mix.,by:rcs-agency.by,not_authorized,research_only,false,https://rcs-agency.by/;https://www.prrb.by/realtors,2026-09-18
by-miraval,Belarus,,Мираваль,"ООО ""Мираваль""",,,, ,real estate agency,unknown,current_chamber_only,Current professional-market evidence; city and corporate route require closure.,by:miraval,not_authorized,research_only,false,https://www.prrb.by/realtors,2026-09-18
by-dianest,Belarus,Minsk,ДИАНЭСТ,ЧУП «ДИАНЭСТ»,,,, ,real estate agency,unknown,current_chamber_plus_current_marketplace,Current Chamber plus active marketplace evidence.,by:dianest,not_authorized,research_only,false,https://www.prrb.by/realtors;https://re.kufar.by/vi/minsk/kupit/kvartiru/1081992253,2026-09-18
