priority_rank,company,city,named_contact_or_role,public_route,readiness_class,source_batch,why_priority,next_action
1,Грановит,Новосибирск,"Александр Эдуардович Бычковский — директор","direktor@granovit.ru / +7 (383) 203-11-11",ready_for_owner_review,batch-02,"Direct director-level route plus partnership evidence","Final fit check; prepare personalized manual outreach draft"
2,Визит,Самара,"Иван Андриянов — руководитель отдела новостроек","128@vzt.ru / +7 (846) 972-03-53 доб.128",ready_for_owner_review,batch-02,"Named new-build decision route with direct email","Prepare personalized new-build/overseas-direction draft"
3,Орбита 72,Тюмень,"Сергей Бортнев — коммерческий директор; Галина Капустина — партнёр по новостройкам","orbita-72@bk.ru / 8 (3452) 777-888",ready_for_owner_review,batch-03,"Commercial leadership + new-build partner + partner-offer signal","Review partner-offer terms; prepare commercial-director draft"
4,Новые Дома,Пермь,"Герасимов Дмитрий Петрович — генеральный директор / ИП","info@noviedoma24.ru / +7 (342) 205-55-52",ready_for_owner_review,batch-04,"Owner-level route and strong new-build specialization","Prepare owner-level overseas-new-build proposition"
5,АВЕСТА-РИЭЛТ,Омск,"Райс Валерий Владимирович — генеральный директор; Матяж Роман Александрович — руководитель отдела продаж новостроек","+7 (3812) 58-09-90",ready_for_owner_review,batch-05,"CEO + dedicated new-build leader","Find direct email/extension and prepare two-route draft"
6,Новый Город,Тюмень,"Ирина Яременко — генеральный директор, элитная недвижимость","+7 (919) 950-82-25; +7 (3452) 52-92-02",ready_for_owner_review,batch-05,"CEO-level route and premium-client profile","Prepare premium/Phuket hypothesis draft"
7,Квартсервис,Омск,"Александр Дребушевский — соучредитель/гендиректор; Ольга Дриго — коммерческий директор","Ks055@yandex.ru / +7 (3812) 344-422",ready_for_owner_review,batch-05,"Named CEO and commercial director plus partnership signals","Prepare commercial-director partnership draft"
8,ЛЕДОН,Омск,"Каюкин Александр Геннадьевич — генеральный директор","ledon@ledon55.ru / +7 (3812) 38-58-98",ready_for_owner_review,batch-03,"CEO-level route and active new-build inventory","Qualify overseas appetite; prepare CEO/new-build routing draft"
9,Дом Недвижимости,Екатеринбург,"Полозова Светлана Владимировна — заместитель директора","+7 908 631-53-39",ready_for_owner_review,batch-03,"Named management-level direct mobile/messenger route","Confirm authority for new direction; prepare concise owner-level draft"
10,ИНКОМ-Недвижимость,Москва,"Валерий Павлович Кочетков — директор направления «Новостройки»","+7 (495) 363-10-03",fit_check_then_owner_review,batch-01,"Named new-build director and B2B developer-sales route","Find direct email/assistant; confirm overseas-distribution fit"
11,Города,Новосибирск,"Марат Авлеев — учредитель федеральной системы «ГОРОДА»","team@goroda.company / 8 (800) 700-00-22",fit_check_then_owner_review,batch-03,"Founder plus expanding partner-network model","Find partnership manager and test network-level MIRA activation"
12,АРЕВЕРА-Недвижимость,Красноярск,"Ирина Томаровская — исполнительный директор (official company content)","info@arevera.ru / +7 (391) 290-44-88",fit_check_then_owner_review,batch-03,"Named executive signal and established regional scale","Find direct executive/commercial route and overseas appetite"
13,ГРАНТА-недвижимость,Красноярск,"Савченко Ольга Владимировна — руководитель отдела коммерческой недвижимости","sov@granta24.ru / +7 (902) 990-26-83",fit_check_then_owner_review,batch-05,"Direct senior department contact","Find owner/new-build/partnership decision maker; use senior contact as router if appropriate"
14,1-я Гильдия недвижимости,Оренбург,"general company contact","1GBN@MAIL.RU / +7 (3532) 230-320; +7 (3532) 28-28-04",strong_b2b_general_route,batch-04,"Direct developer cooperation and exclusive-broker signal","Find owner/commercial decision maker"
15,МИЭЛЬ,Москва,"franchise/partner intake","official partner/franchise intake",strong_partner_route_fit_pending,batch-02,"Formal partnership intake and large network","Identify business-development owner; confirm non-franchise cooperation format"
16,Метриум,Москва,"general company contact","info@metrium.ru / +7 (499) 755-20-70",strong_b2b_general_route,batch-01,"Professional-market cooperation and new-build/investment positioning","Find named commercial/partnership owner"
17,Монолит,Нижний Новгород,"general company contact","info@monolitestate.com / +7 (831) 283-38-98",strong_b2b_general_route,batch-02,"Official partner cooperation language and regional scale","Find named commercial/partnership owner"
18,Аском,Владивосток,"sales department leadership route","secretar@askom.io / +7 (423) 202-54-19",strong_regional_route,batch-03,"Far East geography + direct sales leadership routes","Identify central commercial/partnership decision maker"
19,Петербургская Недвижимость,Санкт-Петербург,"general digital contact route","8 (800) 333-03-55",strong_general_route,batch-02,"Strong new-build distribution brand","Find named new-build/commercial partnership owner"
20,НДВ,Москва,"general company contact","+7 (495) 988-44-22; 8 800 200-44-02",strong_general_route,batch-02,"Large new-build sales operation","Find business-development/partnership owner and foreign-property status"
21,Point Estate,Москва,"general company contact","info@pointestate.ru / +7 499 288-88-67",strong_general_route,batch-01,"Premium/investment audience relevant to Phuket","Find owner/commercial partnership contact"
22,АЯКС,Краснодар,"central network contact; CEO named on official about page","8 (861) 297-00-00",strong_network_route,batch-01,"Large South Russia network and resort/investment audience","Find central business-development owner; avoid branch outreach"
23,Поместье,Иркутск,"general company contact","pomestie@inbox.ru / +7 (3952) 200-717",strong_regional_route,batch-04,"Active company with new-build section and Asia-relevant geography","Find owner/commercial/new-build decision maker"
24,Квартсервис,Омск,"Ольга Дриго — коммерческий директор","+7 (3812) 344-422",ready_for_owner_review,batch-05,"Named commercial director is especially suitable for B2B qualification","Use commercial director as primary route; dedupe with rank 7 in execution queue"
25,Адресат,Волгоград,"general company contact","8 (8442) 98-00-90",regional_pilot_route,batch-03,"Priority example of non-capital regional market","Find owner/commercial/new-build leader"
26,Вершина,Владивосток,"Оксана — direct public contact; role unconfirmed","oxxi1988@gmail.com / +7 (902) 063-37-77",named_route_role_unconfirmed,batch-04,"Direct named route and Far East geography","Confirm role/authority before owner-review promotion"
27,Высоцкий Эстейт,Хабаровск,"Хабаровск office route","meneger6a@gmail.com / +7 (924) 403-06-42",regional_office_route,batch-01,"Far East office relevant to Asia-bound buyers","Identify central/network partnership owner and local autonomy"
28,ЖИЛФОНД,Новосибирск,"multiple Novosibirsk offices","+7 (383) 230-33-10",network_central_owner_needed,batch-01,"Large regional network with strong client base","Find central commercial/partnership owner; no branch duplication"
29,СТАН,Уфа,"Габдрахманов Артем Файдрахманович — директор","bmpt@mail.ru / +7 (347) 279-85-96",hold_entity_resolution,batch-04,"Named director exists but launch-domain mismatch is unresolved","Resolve stan-ufa.ru vs stanufa.ru and intended agency identity before outreach"
30,Живем дома,Волгоград,"Ганькин Дмитрий — генеральный директор","current active site route",hold_entity_resolution,batch-04,"CEO signal and strong regional company, but canonical domain mismatch unresolved","Resolve jivem-doma.ru vs jivemdoma.com before outreach"
