rank,developer,legal_name,location_scope,official_website,official_partner_or_sales_url,route_class,named_contact,sales_or_partner_email,sales_or_partner_phone,messaging_or_social_route,agency_program_evidence,public_commission_evidence,lead_protection_evidence,payment_evidence,contact_status,source_url,evidence_note,checked_at,next_action
1,Rhom Bho Property / THE TITLE,Rhom Bho Property PCL,Phuket / Greater Phuket as stated on source,https://thetitleresidence.com/,https://thetitleresidence.com/,generic_official_route,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://thetitleresidence.com/,official contact page/form; sales or agency-relations person not published,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
2,Botanica Luxury Villas,AAP Architecture Properties & Development,Phuket / Greater Phuket as stated on source,https://www.botanicaluxuryvilla.com/,https://www.botanicaluxuryvilla.com/agent_club/,agent_club_form_plus_head_office,unknown,info@botanicaluxuryvilla.com,+66 9 8394 7097,Line @botanicaluxury,"Official Agent Club page says it connects real-estate partners with Botanica developments and provides portfolio access, project briefings, pricelists, kits, events, dedicated support and sales assistance.",unknown,unknown,unknown,actionable agent-club intake; no named owner published,https://www.botanicaluxuryvilla.com/agent_club/; https://www.botanicaluxuryvilla.com/contact-us/,"Official Agent Club page publishes partner form fields (company, location, main market including Russian buyers) and head-office contact; no named agency-relations person.",2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
3,AssetWise,AssetWise PCL,Phuket / Greater Phuket as stated on source,https://assetwise.co.th/,https://assetwise.co.th/,generic_official_route,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://assetwise.co.th/,official contact form; agency contact not published,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
4,Origin Property,Origin Property PCL,Phuket / Greater Phuket as stated on source,https://origin.co.th/,https://origin.co.th/en/origin-agent-club,origin_agent_club,unknown,unknown,1498,unknown,Official site publishes Origin Agent Club / Distributors & Agents pathway.,unknown,unknown,unknown,agent-club route plus call centre; named owner not published,https://origin.co.th/en/origin-agent-club; https://origin.co.th/en/,Existing official-source record; dedicated Agent Club URL retained. Call centre 1498 is published on official site.,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
5,Sansiri,Sansiri PCL,Phuket / Greater Phuket as stated on source,https://sansiri.com/,https://www.sansiri.com/agent-recruitment/en/,international_agent_registration_plus_email,unknown,internationalbuyers@sansiri.com,unknown,unknown,"Official overseas Agent Registration page describes International Business Department response, sales-process training, property information, channel-manager notification and post-completion commission.",Official page states up to 6% commission after completed transaction; terms and project eligibility require written confirmation.,Official page instructs agent to notify international business channel manager before bringing customer; formal protection terms require confirmation.,Official page says commission is received after completed transaction; payment timing/details require written confirmation.,direct international sales route published; named owner not published,https://www.sansiri.com/agent-recruitment/en/; https://www.sansiri.com/agent-recruitment/cn/,Official Agent Registration page includes internationalbuyers@sansiri.com and identifies International Business Department / international business channel manager.,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
6,Banyan Group Residences,Banyan Group,Phuket / Greater Phuket as stated on source,https://banyangroupresidences.com/,https://banyangroupresidences.com/,generic_official_route,unknown,unknown,+66 76 362 333,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://banyangroupresidences.com/; https://banyangroupresidences.com/banyan-tree-residences,official residence contact; agency relations contact unavailable,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
7,Utopia Corporation,Utopia Corporation,Phuket / Greater Phuket as stated on source,https://utopia.co.th/,https://utopia.co.th/,generic_official_route,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://utopia.co.th/,official contact form; sales/agency-relations contact unavailable,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
8,Thai Fareast Property / Bluepoint,"Thai Fareast Property Co., Ltd.",Phuket / Greater Phuket as stated on source,https://bluepointcondo.com/,https://bluepointcondo.com/,generic_official_route,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://bluepointcondo.com/,official project contact form; agency contact unavailable,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
9,The Ozone Group Phuket,"The Ozone Group Phuket Co., Ltd.",Phuket / Greater Phuket as stated on source,https://ozonephuket.com/,https://ozonephuket.com/,sales_email_plus_named_multilingual_contact,Anil (official site lists EN/CN/RU),sales@theozonegroupphuket.com,+66 62 426 4197; +66 62 426 3928,unknown,unknown,unknown,unknown,unknown,direct sales route with named multilingual contact,https://www.ozonephuket.com/,Official site contact section lists Anil +66(0)62 426 3928 (EN/CN/RU) and sales@theozonegroupphuket.com.,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
10,The Zero Phuket,"Zero Developments Co., Ltd.",Phuket / Greater Phuket as stated on source,https://thezerophuket.com/,https://thezerophuket.com/,generic_official_route,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://thezerophuket.com/,official contact form; sales/agency-relations contact unavailable,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
11,Anchan Villas / Pearl Island Property,"Pearl Island Property Co., Ltd.",Phuket / Greater Phuket as stated on source,https://anchanvillas.com/,https://anchanvillas.com/,sales_email_phone_whatsapp,unknown,info@anchanvillas.com,+66 92 389 9000,unknown,unknown,unknown,unknown,unknown,direct project sales route; agency owner not published,https://anchanvillas.com/project/anchan-indigo-i/; https://anchanvillas.com/ru/project/anchan-sunscape/,"Official Anchan project pages identify Contact Sales Office, publish call/WhatsApp +6692 389 9000 and info@anchanvillas.com.",2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
12,The ONE Group,The ONE Group,Phuket / Greater Phuket as stated on source,https://theonephuket.com/,https://theonephuket.com/,generic_official_route,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://theonephuket.com/,official site contact route; partner contact unavailable,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
13,SKHAI,SKHAI,Phuket / Greater Phuket as stated on source,https://skhai.com/,https://skhai.com/,generic_official_route,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://skhai.com/,official site contact route; agency contact unavailable,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
