developer_brand,legal_name,entity_type,country,market,website,official_contact_url,sales_email,sales_phone,partner_contact,projects_or_scope,agency_program,published_agent_commission,lead_registration,broker_portal,payment_plans,priority,contact_status,source_urls,last_verified,notes
Emaar Properties,unknown,developer,UAE,Dubai,https://www.emaar.com/,https://www.emaar.com/,unknown,unknown,unknown,Dubai master developments and residential,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.emaar.com/; https://www.emaar.com/,2026-09-15,Official website located; agency terms require direct confirmation.
DAMAC Properties,unknown,developer,UAE,Dubai,https://www.damacproperties.com/,https://www.damacproperties.com/,unknown,unknown,unknown,"Residential, branded residences and hospitality",unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.damacproperties.com/; https://www.damacproperties.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Nakheel / Dubai Holding,unknown,developer,UAE,Dubai,https://www.nakheel.com/,https://www.nakheel.com/,unknown,unknown,unknown,Dubai master communities and waterfront developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.nakheel.com/; https://www.nakheel.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Sobha Realty,unknown,developer,UAE,Dubai,https://www.sobharealty.com/,https://www.sobharealty.com/,unknown,unknown,unknown,Premium residential developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.sobharealty.com/; https://www.sobharealty.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Azizi Developments,unknown,developer,UAE,Dubai,https://www.azizidevelopments.com/,https://www.azizidevelopments.com/,unknown,unknown,unknown,Residential and mixed-use developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.azizidevelopments.com/; https://www.azizidevelopments.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Binghatti,unknown,developer,UAE,Dubai,https://www.binghatti.com/,https://www.binghatti.com/,unknown,unknown,unknown,Residential and branded residences,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.binghatti.com/; https://www.binghatti.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Ellington Properties,unknown,developer,UAE,Dubai,https://ellingtonproperties.ae/,https://ellingtonproperties.ae/,unknown,unknown,unknown,Design-led residential developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://ellingtonproperties.ae/; https://ellingtonproperties.ae/,2026-09-15,Official website located; agency terms require direct confirmation.
Danube Properties,unknown,developer,UAE,Dubai,https://danubeproperties.com/,https://danubeproperties.com/,unknown,unknown,unknown,Residential developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://danubeproperties.com/; https://danubeproperties.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Meraas / Dubai Holding,unknown,developer,UAE,Dubai,https://meraas.com/,https://meraas.com/,unknown,unknown,unknown,"Master developments, branded residences and hospitality",unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://meraas.com/; https://meraas.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Omniyat,unknown,developer,UAE,Dubai,https://www.omniyat.com/,https://www.omniyat.com/,unknown,unknown,unknown,Luxury residential and hospitality,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.omniyat.com/; https://www.omniyat.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Select Group,unknown,developer,UAE,Dubai,https://select-group.ae/,https://select-group.ae/,unknown,unknown,unknown,Residential and mixed-use developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://select-group.ae/; https://select-group.ae/,2026-09-15,Official website located; agency terms require direct confirmation.
MAG Lifestyle Development,unknown,developer,UAE,Dubai,https://magld.com/,https://magld.com/,unknown,unknown,unknown,Residential and mixed-use projects,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://magld.com/; https://magld.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Wasl Asset Management Group,unknown,developer,UAE,Dubai,https://www.wasl.ae/,https://www.wasl.ae/,unknown,unknown,unknown,Residential and mixed-use developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.wasl.ae/; https://www.wasl.ae/,2026-09-15,Official website located; agency terms require direct confirmation.
Aldar Properties,unknown,developer,UAE,Dubai,https://www.aldar.com/,https://www.aldar.com/,unknown,unknown,unknown,UAE residential and mixed-use developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.aldar.com/; https://www.aldar.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Arada,unknown,developer,UAE,Dubai,https://www.arada.com/,https://www.arada.com/,unknown,unknown,unknown,UAE residential and master developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.arada.com/; https://www.arada.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Sobha Limited / Sobha Hartland,unknown,developer,UAE,Dubai,https://www.sobharealty.com/,https://www.sobharealty.com/,unknown,unknown,unknown,Dubai residential developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.sobharealty.com/; https://www.sobharealty.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Dubai Properties,unknown,developer,UAE,Dubai,https://www.dp.ae/,https://www.dp.ae/,unknown,unknown,unknown,Dubai master communities and residential,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.dp.ae/; https://www.dp.ae/,2026-09-15,Official website located; agency terms require direct confirmation.
Union Properties,unknown,developer,UAE,Dubai,https://unionproperties.ae/,https://unionproperties.ae/,unknown,unknown,unknown,Dubai residential and mixed-use developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://unionproperties.ae/; https://unionproperties.ae/,2026-09-15,Official website located; agency terms require direct confirmation.
Tiger Properties,unknown,developer,UAE,Dubai,https://www.tigerproperties.ae/,https://www.tigerproperties.ae/,unknown,unknown,unknown,Residential developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.tigerproperties.ae/; https://www.tigerproperties.ae/,2026-09-15,Official website located; agency terms require direct confirmation.
