queue_id,entity_type,name,country,location,website,contact,source,priority,status,created_at
MEGA-0002,agency,ИНКОМ-Недвижимость,Russia,Москва,https://www.incom.ru,+7 495 363-10-10,https://www.incom.ru,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0143,agency,Твоя столица,Беларусь,Минск,https://www.t-s.by/,Unknown,https://www.t-s.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0144,agency,Этажи (Минск),Беларусь,Минск,https://minsk.etagi.com/,reklama@minsk.etagi.com,https://etagy.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0145,agency,Квадратный метр,Беларусь,Минск,https://m2.by/ru,Unknown,https://m2.by/ru,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0146,agency,Центр международной недвижимости Моя 7Я,Беларусь,Минск,https://centr7a.by/,reklama.intl@centr7a.by,https://centr7a.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0147,agency,Партнер для всех,Беларусь,Минск/Минская область,https://anpartner.by/,Unknown,https://anpartner.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0148,agency,7 этажей,Беларусь,Минск/Минская область,https://www.an7.by/,Unknown,https://www.an7.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0149,agency,YG HOME,Беларусь,Минск,https://yghome.by/,info@yghome.by,https://yghome.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0150,agency,Авангард Недвижимость,Беларусь,Минск/пригород,https://avangard-n.by/,Unknown,https://avangard-n.by/agency/about-us/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0151,agency,Гарант Недвижимость,Беларусь,Минск,https://garantiruem.by/,Unknown,https://garantiruem.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0152,agency,Твой Маёнтак,Беларусь,Минск/Минская область,https://tmaentak.by/,Unknown,https://tmaentak.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0153,agency,Мольнар,Беларусь,Минск/Беларусь,https://molnar.by/,Unknown,https://molnar.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0154,agency,Агентство недвижимости Мариэлт,Беларусь,Минск,https://marielt.by/,Unknown,https://marielt.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0155,agency,АН Фаттория,Беларусь,Минск,https://fattoria.by/,Unknown,https://fattoria.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0156,agency,AS Недвижимость,Беларусь,Минск,https://www.asrealt.by/,Unknown,https://www.asrealt.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0157,agency,Алькор Эстейт,Беларусь,Минск,https://alkor-realty.by/,Unknown,https://alkor-realty.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0158,agency,WT Group,Казахстан,Алматы/Астана,https://wtgroup.international/,Unknown,https://wtgroup.international/about,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0159,agency,Grand Estate Company,Казахстан,Алматы,https://gec.kz/,Unknown,https://gec.kz/o-nas/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0160,agency,Ria Light,Казахстан,Алматы,https://rialight.kz/,info@rialight.kz,https://rialight.kz/about/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0161,agency,Hayat Estate Kazakhstan,Казахстан,Алматы,https://hayatestate.com/my-v-almaty,Unknown,https://hayatestate.com/my-v-almaty,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0162,agency,Этажи (Алматы),Казахстан,Алматы,https://almaty.etagi.com/,Unknown,https://almaty.etagi.com/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0163,agency,Kentron,Армения,Ереван,https://www.real-estate.am/ru,kentron@real-estate.am,https://www.real-estate.am/ru,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0164,agency,Best House,Армения,Ереван,https://besthouse.am/,info@besthouse.am,https://besthouse.am/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0165,agency,Альфа-Недвижимость,Беларусь,Минск,https://alfarealty.by/,Unknown,https://alfarealty.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0166,agency,Новая жизнь,Беларусь,Минск,https://novaya.by/,Unknown,https://novaya.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0167,agency,Альянс недвижимости,Беларусь,Минск,https://an-realt.by/,Unknown,https://an-realt.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0168,agency,Риэлт-Сити,Беларусь,Минск,https://rieltcity.by/,Unknown,https://rieltcity.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0169,agency,Альфа-Риэлт,Беларусь,Брест,https://alfarielt.by/,Unknown,https://alfarielt.by/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0170,agency,Home Invest,Казахстан,Алматы,https://homeinvest.kz/,Unknown,https://homeinvest.kz/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0171,agency,Adal Estate,Казахстан,Алматы,https://adalestate.kz/,Unknown,https://adalestate.kz/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0172,agency,Агентство недвижимости Евразия,Казахстан,Алматы,https://eurasia01.kz/,Unknown,https://eurasia01.kz/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0173,agency,АлмаДом,Казахстан,Алматы,https://almadom.kz/,Unknown,https://almadom.kz/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0174,agency,Hata.kz,Казахстан,Алматы,https://hata.kz/,Unknown,https://hata.kz/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0175,agency,CENTURY 21 Kazakhstan,Казахстан,Алматы/Астана,https://century21.kz/,Unknown,https://century21.kz/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0176,agency,BI Group Real Estate,Казахстан,Астана/Алматы,https://bi.group/,Unknown,https://bi.group/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0177,agency,WSE.AM,Армения,Ереван,https://wse.am/,Unknown,https://wse.am/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0178,agency,SIEVN,Армения,Ереван,https://sievn.am/,info@sievn.am,https://sievn.am/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0179,agency,Yerevan Realty,Армения,Ереван,https://yerevanrealty.am/,Unknown,https://yerevanrealty.am/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0180,agency,Estate.am,Армения,Ереван,https://estate.am/,Unknown,https://estate.am/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0181,agency,Prime Realty Armenia,Армения,Ереван,https://primerealty.am/,Unknown,https://primerealty.am/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0182,agency,Tuntun Realty,Армения,Ереван,https://tuntun.am/,Unknown,https://tuntun.am/,B, 준비ed_no_send,2026-09-15T19:14:11Z
MEGA-0183,agency,Agreement,Узбекистан,Ташкент,https://agreement.uz/,Unknown,https://agreement.uz/,B, 준비ed_no_send,2026-09-15T19:14:11Z
