record_type,id,country_or_market,subject,check,status,evidence,publication_approved,outreach_status,notes
agency_domain,RU-NIGHT-A-005,Russia,AFLAT,main exact-domain dedupe,no_match,aflat.online,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,RU-NIGHT-B-003,Russia,Welcome,main exact-domain dedupe,no_match,welcome26.ru,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,RU-NIGHT-B-012,Russia,Формула,main exact-domain dedupe,no_match,formula-agency.ru,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,RU-NIGHT-B-005,Russia,Агентство на Ярославской / HOUSE GROUP,main exact-domain dedupe,no_match,housegroup21.ru,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,RU-NIGHT-B-011,Russia,БСН Недвижимость,main exact-domain dedupe,no_match,bsnnedvizhimost.ru,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,RU-NIGHT-B-009,Russia,РИЭЛ-МАКС,main exact-domain dedupe,no_match,riel-max.ru,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,by-absolut-nedvizhimost,Belarus,Абсолют Недвижимость,main exact-domain dedupe,no_match,aan.by,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,by-centr-nedvizhimosti-24-na-7,Belarus,Центр недвижимости 24 на 7,main exact-domain dedupe,no_match,central-borisov.by,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,by-osnova,Belarus,Сектор недвижимости Основа,main exact-domain dedupe,no_match,osnova.by,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,by-garant-uspeha,Belarus,Гарант успеха,main exact-domain dedupe,no_match,garantus.by,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,by-uyut-i-k,Belarus,Агентство Уют и К,main exact-domain dedupe,no_match,n-v.by,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
agency_domain,by-pakodan-estate,Belarus,ПАКОДАН ЭСТЕЙТ,main exact-domain dedupe,no_match,pakodangrodno.by,,not_authorized,"Repository-level only; legal entity uniqueness not proven"
media,bali-the-era-by-oxo,Bali,The ERA by OXO,source/media gap,partial_improved,https://realestate.oxoliving.com/the-era-by-oxo/,false,,"Exact primary page and exact-project asset URL found; asset not downloaded/reviewed; rights unresolved"
media,bali-secana-beachtown,Bali,Secana Beachtown,low-resolution/rights gap,source_and_visual_improved,https://mirahdevelopments.com/development/secana-beachtown/,false,,"Exact gallery candidate visually checked; Mirah terms require prior written consent for commercial reuse"
media,dubai-mudon-al-ranim,Dubai,Mudon Al Ranim,low-resolution/rights gap,partial_improved,https://www.dp.ae/our-portfolio/all-projects/132/al-ranim/,false,,"Two exact gallery routes found; actual bytes/dimensions not inspected; Dubai Properties terms block commercial reuse without licence/permission"
media,dubai-one-river-point,Dubai,One River Point,current-source rematch,source_gap_closed,https://ellingtonproperties.ae/en/property-for-sale/one-river-point-business-bay,false,,"Current developer source closes identity rematch; replacement direct asset not captured; Ellington terms prohibit reuse"
media,dubai-damac-riverside,Dubai,DAMAC Riverside,Riverside-vs-Views/source gap,identity_clarified_media_open,https://www.damacproperties.com/fr-lu/blog/damac-riverside-community-location-map/,false,,"Direct source fetch remains 403; Riverside Views confirmed separate and its four PR photos quarantined"
