id,project_name,developer_brand,location,fact_status,primary_url,observation_publisher,observation_url,observation_language,match_precision,commercial_status,commerciallyEnabled
vn-vinhomes-green-paradise,Vinhomes Green Paradise,Vinhomes,"Can Gio, Ho Chi Minh City",candidate_primary_and_ru_channel_observation,https://market.vinhomes.vn/blog/khoi-cong-khu-do-thi-du-lich-lan-bien-can-gio-bieu-tuong-sinh-thai-bien-moi-cua-tp-hcm,VINPROP / Oleg Morozov,https://www.youtube.com/watch?v=m0eBFHVnwMQ,ru,exact_project,research_only,false
vn-the-global-city,The Global City,Masterise Homes,"Binh Trung / Thu Duc area, Ho Chi Minh City",candidate_primary_and_ru_channel_observation,https://masterisehomes.com/the-global-city/en,Vietnam-Real.Estate,https://vietnam-real.estate/ru/developments/ho-chi-minh/off-plan/,ru,exact_project_catalogue_entry,research_only,false
vn-aqua-city-phoenix-island,Aqua City — Phoenix Island,Novaland,"Bien Hoa, Dong Nai",partial_phase_primary_verification,https://www.novaland.com.vn/aqua-city-cua-novaland-duoc-cap-von-de-trien-khai-hoan-thien,Vietnam-Real.Estate,https://vietnam-real.estate/ru/property/aqua-city-phoenix-island-266/,ru,exact_phase_on_portal_family_primary_source,research_only,false
vn-waterpoint,Waterpoint,Nam Long,"Ben Luc / western Ho Chi Minh City corridor",partial_primary_verified_ru_channel_gap,https://www.namlongvn.com/en/news/4175-nam-long-signs-with-17-strategic-agencies-for-waterpoint-township-ushering-in-a-new-era-for-western-real-estate-market/,,,,,research_only,false
vn-eaton-park,Eaton Park,Gamuda Land,"Mai Chi Tho / An Phu area, Ho Chi Minh City",candidate_primary_and_channel_observation,https://gamudaland.com.vn/en/news/news-and-story-15,Savills Vietnam via Vietnam-Real.Estate,https://vietnam-real.estate/property/o29039/,en,exact_project,research_only,false
vn-lumi-hanoi,Lumi Hanoi,CapitaLand Development,"West Hanoi / Nam Tu Liem area, Hanoi",candidate_primary_and_channel_observation,https://www.capitaland.com/en/about-capitaland/newsroom/news-releases/vietnam/20221/capitaland-development-introduces-lumi-hanoi--a-4-000-unit-high-.html,Vietnam-Real.Estate,https://vietnam-real.estate/property/lumi-hanoi-15857/,en,exact_project,research_only,false
vn-the-gio-riverside,The Gió Riverside,An Gia,"Dong Hoa / former Di An, Binh Duong; current first-party page labels Ho Chi Minh City",candidate_primary_and_channel_observation,https://www.angia.com.vn/en/project/ongoing-projects/the-gio-riverside-1.html,Vietnam-Real.Estate,https://vietnam-real.estate/property/the-gio-riverside-323/,en,exact_project,research_only,false
vn-merryland-quy-nhon,MerryLand Quy Nhon,Hung Thinh Land,"Hai Giang Peninsula / Quy Nhon area; current first-party page labels Gia Lai province",candidate_primary_and_ru_channel_observation,https://www.hungthinhland.com/en/projects/detail/MerryLand-Quy-Nhon.html,Vietnam-Real.Estate,https://vietnam-real.estate/ru/property/binh-dinh/,ru,exact_project_catalogue_entry,research_only,false
vn-the-filmore-da-nang,The Filmore Da Nang,Filmore Development,"Hai Chau, Da Nang",candidate_primary_and_ru_channel_observation,https://filmore.com.vn/en/the-filmore-da-nang-officially-grand-opened-on-8th-june-2024/,Vietnam-Real.Estate,https://vietnam-real.estate/ru/property/the-filmore-da-nang-9308/,ru,exact_project,research_only,false
vn-sun-symphony-residence,Sun Symphony Residence,Sun Property,"Han River, Da Nang",candidate_primary_and_ru_channel_observation,https://sungroup.com.vn/tin-tuc/sun-symphony-residence-dinh-nghia-moi-ve-bat-dong-san-haute-couture-7335,DDA Real Estate via Vietnam-Real.Estate,https://vietnam-real.estate/ru/property/da-nang/,ru,exact_project_listing_entries,research_only,false
vn-empire-city,Empire City,Empire City LLC consortium,"Thu Thiem, Ho Chi Minh City",partial_authoritative_secondary_no_first_party_project_source,https://residential.cbrevietnam.com/en-US/empire-city-EN,Vietnam-Real.Estate,https://vietnam-real.estate/ru/property/empire-city-249/,ru,exact_project,research_only,false
vn-the-metropole-thu-thiem,The Metropole Thu Thiem,SonKim Land,"Thu Thiem, Ho Chi Minh City",candidate_primary_and_ru_agency_observation,https://sonkimland.vn/residential/the-metropole-thu-thiem,SaigonApart,https://saigonapart.com/districts,ru,exact_project_family_catalogue_entry,research_only,false
vn-the-river-thu-thiem,The River Thu Thiem,Refico,"Thu Thiem, Ho Chi Minh City",candidate_primary_and_ru_agency_observation,https://refico.com.vn/specialities/the-river/,SaigonApart,https://saigonapart.com/districts,ru,exact_project_catalogue_entry,research_only,false
vn-one-verandah,One Verandah,Mapletree,"Thanh My Loi / Thu Duc, Ho Chi Minh City",candidate_primary_and_channel_observation,https://oneverandah.com.vn/en,Hoozing via Vietnam-Real.Estate,https://vietnam-real.estate/property/o23103/,en,exact_project,research_only,false
vn-urban-green,Urban Green,Kusto Home,"Hiep Binh Phuoc / Thu Duc, Ho Chi Minh City",partial_project_site_not_yet_corporate_verified,https://urban-green.vn/,Vietnam-Real.Estate,https://vietnam-real.estate/ru/property/urban-green-227/,ru,exact_project,research_only,false
