rank,developer,legal_name,official_website,official_sales_or_partner_url,sales_or_partner_email,sales_or_partner_phone,contact_evidence,verification_status,priority,outreach_action,source_urls
1,Rhom Bho Property / THE TITLE,Rhom Bho Property PCL,https://thetitleresidence.com/,https://thetitleresidence.com/,unknown,unknown,official contact page/form; sales or agency-relations person not published,verified,A,Direct outreach via official contact; request international sales / agency relations owner,https://thetitleresidence.com/
2,Botanica Luxury Villas,AAP Architecture Properties & Development,https://www.botanicaluxuryvilla.com/,https://www.botanicaluxuryvilla.com/agent_club/,info@botanicaluxuryvilla.com,+66 9 8394 7097,Agent Club registration plus head-office sales contact; no named partner manager,verified,A,Actionable agent-club intake; ask for Russian-speaking/international channel,https://www.botanicaluxuryvilla.com/agent_club/; https://www.botanicaluxuryvilla.com/privilege-club/
3,AssetWise,AssetWise PCL,https://assetwise.co.th/,https://assetwise.co.th/,unknown,unknown,official contact form; agency contact not published,verified,A,Route to Phuket project sales and distributor/agent team,https://assetwise.co.th/
4,Origin Property,Origin Property PCL,https://origin.co.th/,https://origin.co.th/en/origin-agent-club,unknown,1498,Origin Agent Club / Distributors & Agents pathway; call centre published,verified,A,Use agent-club registration; request Phuket international channel manager,https://origin.co.th/en/origin-agent-club; https://origin.co.th/en/
5,Sansiri,Sansiri PCL,https://sansiri.com/,https://www.sansiri.com/agent-recruitment/en/,internationalbuyers@sansiri.com,unknown,official Agent Registration and International Business Department email,verified,A,Explicit overseas agent onboarding; Phuket projects listed on official site,https://www.sansiri.com/agent-recruitment/en/; https://www.sansiri.com/en/
6,Banyan Group Residences,Banyan Group,https://banyangroupresidences.com/,https://banyangroupresidences.com/,unknown,+66 76 362 333,official residence contact; agency relations contact unavailable,verified,A,Ask residence sales team to route to broker/agency partnerships,https://banyangroupresidences.com/; https://banyangroupresidences.com/banyan-tree-residences
7,Utopia Corporation,Utopia Corporation,https://utopia.co.th/,https://utopia.co.th/,unknown,unknown,official contact form; sales/agency-relations contact unavailable,verified,B,Request current international sales and external-agent registration terms,https://utopia.co.th/
8,Thai Fareast Property / Bluepoint,"Thai Fareast Property Co., Ltd.",https://bluepointcondo.com/,https://bluepointcondo.com/,unknown,unknown,official project contact form; agency contact unavailable,verified,C,Small/legacy project; verify current inventory before outreach,https://bluepointcondo.com/
9,The Ozone Group Phuket,"The Ozone Group Phuket Co., Ltd.",https://ozonephuket.com/,https://ozonephuket.com/,sales@theozonegroupphuket.com,+66 62 426 4197; +66 62 426 3928,official sales email and phones; no named broker manager,verified,A,Direct sales inbox can route to agency relations,https://ozonephuket.com/
10,The Zero Phuket,"Zero Developments Co., Ltd.",https://thezerophuket.com/,https://thezerophuket.com/,unknown,unknown,official contact form; sales/agency-relations contact unavailable,verified,B,Request broker programme and lead-registration process,https://thezerophuket.com/
11,Anchan Villas / Pearl Island Property,"Pearl Island Property Co., Ltd.",https://anchanvillas.com/,https://anchanvillas.com/,info@anchanvillas.com,unknown,official brand email/contact; partner manager unavailable,verified,B,Ask sales inbox for external agency onboarding,https://anchanvillas.com/
12,The ONE Group,The ONE Group,https://theonephuket.com/,https://theonephuket.com/,unknown,unknown,official site contact route; partner contact unavailable,verified,B,Request active project list and broker lead registration,https://theonephuket.com/
13,SKHAI,SKHAI,https://skhai.com/,https://skhai.com/,unknown,unknown,official site contact route; agency contact unavailable,verified,C,Validate active sales status and agency terms before priority outreach,https://skhai.com/
14,Sunny Holding,Sunny Holding,https://sunnyholding.com/development/,https://sunnyholding.com/development/,unknown,unknown,official development page and contact route; partner contact unavailable,verified,B,Request development sales/agency relations contact,https://sunnyholding.com/development/
15,Phuket9,Phuket9,https://phuket9.com/,https://phuket9.com/,sales@phuket9.com,+66 98 674 7096,official domain publishes sales email and phone in existing record,verified,B,Ask sales inbox for external broker programme and current portfolio,https://phuket9.com/
16,Aquella,Aquella / PCPD,https://aquella.com/,https://aquella.com/,sales@aquella.com,+66 2 150 0575; +852 5804 9780,official site explicitly labels Villa Enquiries / Sales Enquiries; broker team not named,verified,A,Greater Phuket (Phang Nga) luxury resort; actionable villa sales contact,https://aquella.com/
17,Laguna Phuket / Laguna Residences,Laguna Phuket,https://www.lagunaphuket.com/,https://www.lagunaphuket.com/contact-us/,SILK@lagunaphuket.com,+66 76 304 504,official contact page; residence sales/agency contact not named,verified,A,Ask SILK/residences sales to route to appointed-agent team,https://www.lagunaphuket.com/contact-us/
18,Fivewood Estate / Annara Residences,"Fivewood Estate Co., Ltd.",https://www.annaragroup.com/,https://www.annaragroup.com/,unknown,unknown,official project page identifies developer and contact route; agency contact unavailable,verified,B,New Bang Tao/Cherngtalay project; request project sales and broker onboarding,https://www.annaragroup.com/
19,Wallaya Villas,Wallaya Villas,https://www.wallayavillas.com/,https://www.wallayavillas.com/privacy-policy/,unknown,unknown,official site privacy/agent terms evidence; direct sales contact not exposed in crawl,verified,B,Agent registration and lead-protection language appears in official policy; obtain current contact,https://www.wallayavillas.com/privacy-policy/
20,Supalai,Supalai PCL,https://www.supalai.com/,https://www.supalai.com/,unknown,unknown,official Agent Registration pathway includes Phuket & Koh Samui; email/phone unavailable,verified,B,Use agent registration; confirm currently active Phuket projects,https://www.supalai.com/en/project/house/prime-villa-samui
