developer_brand,legal_name,entity_type,country,market,website,official_contact_url,sales_email,sales_phone,partner_contact,projects_or_scope,agency_program,published_agent_commission,lead_registration,broker_portal,payment_plans,priority,contact_status,source_urls,last_verified,notes
Vinhomes,unknown,developer,Vietnam,Vietnam,https://vinhomes.vn/,https://vinhomes.vn/,unknown,unknown,unknown,Large-scale urban townships and residential,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://vinhomes.vn/; https://vinhomes.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
Novaland,unknown,developer,Vietnam,Vietnam,https://www.novaland.com.vn/,https://www.novaland.com.vn/,unknown,unknown,unknown,Urban and resort developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.novaland.com.vn/; https://www.novaland.com.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
Sun Group,unknown,developer,Vietnam,Vietnam,https://sungroup.com.vn/,https://sungroup.com.vn/,unknown,unknown,unknown,"Resort, tourism and urban developments",unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://sungroup.com.vn/; https://sungroup.com.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
BIM Group,unknown,developer,Vietnam,Vietnam,https://bimgroup.com/,https://bimgroup.com/,unknown,unknown,unknown,"Coastal tourism, resort and urban developments",unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://bimgroup.com/; https://bimgroup.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Nam Long,unknown,developer,Vietnam,Vietnam,https://www.namlongvn.com/,https://www.namlongvn.com/,unknown,unknown,unknown,Residential and township developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.namlongvn.com/; https://www.namlongvn.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Ecopark,unknown,developer,Vietnam,Vietnam,https://ecopark.com.vn/,https://ecopark.com.vn/,unknown,unknown,unknown,Township and residential development,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://ecopark.com.vn/; https://ecopark.com.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
Masterise Homes,unknown,developer,Vietnam,Vietnam,https://masterisehomes.com/,https://masterisehomes.com/,unknown,unknown,unknown,Premium residential and branded projects,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://masterisehomes.com/; https://masterisehomes.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Nomura Real Estate Vietnam,unknown,developer,Vietnam,Vietnam,https://nomura-re-vn.com/,https://nomura-re-vn.com/,unknown,unknown,unknown,Residential development and investment,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://nomura-re-vn.com/; https://nomura-re-vn.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Phu Long,unknown,developer,Vietnam,Vietnam,https://phulong.com/,https://phulong.com/,unknown,unknown,unknown,Urban and resort projects,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://phulong.com/; https://phulong.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Khang Dien,unknown,developer,Vietnam,Vietnam,https://khangdien.com.vn/,https://khangdien.com.vn/,unknown,unknown,unknown,Ho Chi Minh City residential,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://khangdien.com.vn/; https://khangdien.com.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
Dat Xanh Group,unknown,developer,Vietnam,Vietnam,https://www.datxanh.vn/,https://www.datxanh.vn/,unknown,unknown,unknown,Residential and property development,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.datxanh.vn/; https://www.datxanh.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
CEO Group,unknown,developer,Vietnam,Vietnam,https://ceogroup.com.vn/,https://ceogroup.com.vn/,unknown,unknown,unknown,Resort and urban projects,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://ceogroup.com.vn/; https://ceogroup.com.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
FLC Group,unknown,developer,Vietnam,Vietnam,https://flc.vn/,https://flc.vn/,unknown,unknown,unknown,Resort and tourism property,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://flc.vn/; https://flc.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
BRG Group,unknown,developer,Vietnam,Vietnam,https://brggroup.vn/,https://brggroup.vn/,unknown,unknown,unknown,"Urban, hospitality and golf developments",unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://brggroup.vn/; https://brggroup.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
CapitaLand Development Vietnam,unknown,developer,Vietnam,Vietnam,https://www.capitaland.com/vn/en.html,https://www.capitaland.com/vn/en.html,unknown,unknown,unknown,Residential and integrated developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.capitaland.com/vn/en.html; https://www.capitaland.com/vn/en.html,2026-09-15,Official website located; agency terms require direct confirmation.
Gamuda Land Vietnam,unknown,developer,Vietnam,Vietnam,https://gamudaland.com.vn/,https://gamudaland.com.vn/,unknown,unknown,unknown,Residential and township developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://gamudaland.com.vn/; https://gamudaland.com.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
Keppel Vietnam,unknown,developer,Vietnam,Vietnam,https://www.keppel.com/,https://www.keppel.com/,unknown,unknown,unknown,Urban and residential development,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.keppel.com/; https://www.keppel.com/,2026-09-15,Official website located; agency terms require direct confirmation.
An Gia,unknown,developer,Vietnam,Vietnam,https://angia.com.vn/,https://angia.com.vn/,unknown,unknown,unknown,Ho Chi Minh City residential,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://angia.com.vn/; https://angia.com.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
Phat Dat,unknown,developer,Vietnam,Vietnam,https://www.phatdat.com.vn/,https://www.phatdat.com.vn/,unknown,unknown,unknown,Residential and coastal developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.phatdat.com.vn/; https://www.phatdat.com.vn/,2026-09-15,Official website located; agency terms require direct confirmation.
Van Phuc Group,unknown,developer,Vietnam,Vietnam,https://vanphucgroup.com/,https://vanphucgroup.com/,unknown,unknown,unknown,Ho Chi Minh City township development,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://vanphucgroup.com/; https://vanphucgroup.com/,2026-09-15,Official website located; agency terms require direct confirmation.
