country,company,city,website,official_source,email,phone,specialization,international_focus,mira_priority,evidence_note,checked_at,verification_status,source_type
Беларусь,Твоя столица,Минск,https://www.t-s.by/,https://www.t-s.by/,Unknown,Unknown,"жилые/коммерческие сделки, первичный и вторичный рынок",зарубежная недвижимость не подтверждена на официальном сайте,B,Официальный сайт описывает 29 лет работы и услуги по сегментам; размер/foreign focus требуют проверки,2026-09-15,verified_official_site,first_party_official
Беларусь,Этажи (Минск),Минск,https://minsk.etagi.com/,https://etagy.by/,reklama@minsk.etagi.com,+375 (29) 643-37-32,"покупка, продажа, аренда, ипотека; жилые/нежилые",зарубежная недвижимость не подтверждена на локальном сайте,B,Официальный сайт и контакты офиса; foreign focus не зафиксирован,2026-09-15,verified_official_site,first_party_official
Беларусь,Квадратный метр,Минск,https://m2.by/ru,https://m2.by/ru,Unknown,+375 33 399-55-99,"покупка, продажа, обмен; квартиры, дома, коммерция","на сайте есть выбор страны/города, но международная специализация не подтверждена",B,Официальный сайт и контакт опубликованы,2026-09-15,verified_official_site,first_party_official
Беларусь,Центр международной недвижимости Моя 7Я,Минск,https://centr7a.by/,https://centr7a.by/,reklama.intl@centr7a.by,+375 44 519-61-96,покупка/продажа; инвестиционные и международные запросы,"Да, международная недвижимость заявлена официально; страны не указаны",A,Официальный сайт прямо называет центр международной недвижимости и работу с застройщиками,2026-09-15,verified_official_site,first_party_official
Беларусь,Партнер для всех,Минск/Минская область,https://anpartner.by/,https://anpartner.by/,Unknown,Unknown,"купля, продажа, обмен, аренда",зарубежная недвижимость не подтверждена,C,Действующий сайт с описанием услуг; масштаб/foreign focus неизвестны,2026-09-15,verified_official_site,first_party_official
Беларусь,7 этажей,Минск/Минская область,https://www.an7.by/,https://www.an7.by/,Unknown,Unknown,"первичный/вторичный рынок, коммерческая и загородная недвижимость",зарубежная недвижимость не подтверждена,B,Официальный сайт описывает полный спектр услуг и географию,2026-09-15,verified_official_site,first_party_official
Беларусь,YG HOME,Минск,https://yghome.by/,https://yghome.by/,info@yghome.by,+375 (29) 325-75-75,операции с недвижимостью,зарубежная недвижимость не подтверждена,B,"Официальный сайт публикует офис, телефоны и e-mail",2026-09-15,verified_official_site,first_party_official
Беларусь,Авангард Недвижимость,Минск/пригород,https://avangard-n.by/,https://avangard-n.by/agency/about-us/,Unknown,Unknown,"продажа, обмен, покупка жилой и коммерческой недвижимости",зарубежная недвижимость не подтверждена,B,Официальный сайт описывает действующее агентство и специализацию,2026-09-15,verified_official_site,first_party_official
Беларусь,Гарант Недвижимость,Минск,https://garantiruem.by/,https://garantiruem.by/,Unknown,Unknown,"продажа, покупка, обмен, аренда; маркетинг и юр. сопровождение",зарубежная недвижимость не подтверждена,B,"Официальный сайт заявляет агентство, маркетинг и юридический отдел",2026-09-15,verified_official_site,first_party_official
Беларусь,Твой Маёнтак,Минск/Минская область,https://tmaentak.by/,https://tmaentak.by/,Unknown,Unknown,"продажа, покупка и сопровождение сделок",зарубежная недвижимость не подтверждена,C,Официальный сайт действует и описывает услуги; масштаб неизвестен,2026-09-15,verified_official_site,first_party_official
Беларусь,Мольнар,Минск/Беларусь,https://molnar.by/,https://molnar.by/,Unknown,Unknown,объекты недвижимости Минска и областей,зарубежная недвижимость не подтверждена,C,Официальный сайт позиционирует агентство и базу объектов,2026-09-15,verified_official_site,first_party_official
Беларусь,Агентство недвижимости Мариэлт,Минск,https://marielt.by/,https://marielt.by/,Unknown,Unknown,риэлтерские услуги; лицензированное агентство,зарубежная недвижимость не подтверждена,C,"Официальный сайт содержит юр. название, УНП и лицензию",2026-09-15,verified_official_site,first_party_official
Беларусь,АН Фаттория,Минск,https://fattoria.by/,https://fattoria.by/,Unknown,Unknown,"продажа, покупка, аренда и обмен",зарубежная недвижимость не подтверждена,C,Официальный сайт с актуальным описанием услуг,2026-09-15,verified_official_site,first_party_official
Беларусь,AS Недвижимость,Минск,https://www.asrealt.by/,https://www.asrealt.by/,Unknown,Unknown,агентство недвижимости; сопровождение сделок,зарубежная недвижимость не подтверждена,C,Официальный сайт указывает 15+ лет опыта и 2000+ клиентов; цифры не проверены внешне,2026-09-15,verified_official_site,first_party_official
Беларусь,Алькор Эстейт,Минск,https://alkor-realty.by/,https://alkor-realty.by/,Unknown,Unknown,продажа/покупка квартир и домов; агентство,зарубежная недвижимость не подтверждена,C,Официальный сайт содержит юр. лицо и лицензию,2026-09-15,verified_official_site,first_party_official
Казахстан,WT Group,Алматы/Астана,https://wtgroup.international/,https://wtgroup.international/about,Unknown,Unknown,"международная недвижимость; офисы в Алматы, Астане, Дубае и Абу-Даби",Да; страны и условия агентской программы требуют отдельного контакта,A,Официальная страница компании прямо заявляет international property и представительство мировых застройщиков,2026-09-15,verified_official_site,first_party_official
Казахстан,Grand Estate Company,Алматы,https://gec.kz/,https://gec.kz/o-nas/,Unknown,Unknown,покупка/продажа и услуги на рынке недвижимости,зарубежная недвижимость не подтверждена,B,Официальная страница «О нас» описывает действующую компанию и сервис,2026-09-15,verified_official_site,first_party_official
Казахстан,Ria Light,Алматы,https://rialight.kz/,https://rialight.kz/about/,info@rialight.kz,+7 (707) 044-09-49,агентство недвижимости; эксперт по зарубежной недвижимости,Да; зарубежная недвижимость заявлена,A,Официальная страница заявляет работу с зарубежной недвижимостью и членство в ассоциации риэлторов,2026-09-15,verified_official_site,first_party_official
Казахстан,Hayat Estate Kazakhstan,Алматы,https://hayatestate.com/my-v-almaty,https://hayatestate.com/my-v-almaty,Unknown,+7 747 362-87-37,"зарубежная недвижимость: Турция, Испания, Португалия",Да; список стран опубликован на официальной странице,A,Официальная страница открытия офиса в Алматы и контакты команды,2026-09-15,verified_official_site,first_party_official
Казахстан,Этажи (Алматы),Алматы,https://almaty.etagi.com/,https://almaty.etagi.com/,Unknown,Unknown,"купля/продажа, аренда, ипотека; жилые и коммерческие объекты",зарубежная недвижимость не подтверждена на локальном сайте,B,Официальный локальный сайт сети с каталогом и услугами,2026-09-15,verified_official_site,first_party_official
Армения,Kentron,Ереван,https://www.real-estate.am/ru,https://www.real-estate.am/ru,kentron@real-estate.am,+374 55 404090,"покупка, продажа и аренда недвижимости",зарубежная недвижимость не подтверждена,B,"Официальный сайт указывает услуги, адрес, телефоны и e-mail",2026-09-15,verified_official_site,first_party_official
Армения,Best House,Ереван,https://besthouse.am/,https://besthouse.am/,info@besthouse.am,+374 91 90-30-94,"продажа/аренда квартир, домов, коммерции и земли",зарубежная недвижимость не подтверждена,B,"Официальный сайт публикует каталог, адрес и контакты",2026-09-15,verified_official_site,first_party_official
Беларусь,Альфа-Недвижимость,Минск,https://alfarealty.by/,https://alfarealty.by/,Unknown,Unknown,купля-продажа и аренда недвижимости,зарубежная недвижимость не подтверждена,B,Официальный сайт компании; агентский/foreign focus требует прямой проверки,2026-09-15,verified_official_site,first_party_official
Беларусь,Новая жизнь,Минск,https://novaya.by/,https://novaya.by/,Unknown,Unknown,операции с жилой и коммерческой недвижимостью,зарубежная недвижимость не подтверждена,B,Официальный сайт агентства; прямой партнёрский контакт не опубликован,2026-09-15,verified_official_site,first_party_official
Беларусь,Альянс недвижимости,Минск,https://an-realt.by/,https://an-realt.by/,Unknown,Unknown,"продажа, покупка и аренда недвижимости",зарубежная недвижимость не подтверждена,B,Официальный сайт агентства; требуется проверка активности и foreign desk,2026-09-15,verified_official_site,first_party_official
Беларусь,Риэлт-Сити,Минск,https://rieltcity.by/,https://rieltcity.by/,Unknown,Unknown,"жилые новостройки, вторичный рынок, коммерция",зарубежная недвижимость не подтверждена,B,Официальный сайт с каталогом услуг; прямой контакт партнёрского отдела неизвестен,2026-09-15,verified_official_site,first_party_official
Беларусь,Альфа-Риэлт,Брест,https://alfarielt.by/,https://alfarielt.by/,Unknown,Unknown,"купля-продажа, аренда, загородная недвижимость",зарубежная недвижимость не подтверждена,C,Официальный сайт локального агентства; масштаб и международный профиль требуют проверки,2026-09-15,verified_official_site,first_party_official
Казахстан,Home Invest,Алматы,https://homeinvest.kz/,https://homeinvest.kz/,Unknown,Unknown,"купля-продажа недвижимости, инвестиционные объекты",зарубежная недвижимость не подтверждена,B,Официальный домен агентства; отдельный foreign/partnership канал не найден,2026-09-15,verified_official_site,first_party_official
Казахстан,Adal Estate,Алматы,https://adalestate.kz/,https://adalestate.kz/,Unknown,Unknown,жилые и коммерческие сделки,зарубежная недвижимость не подтверждена,B,Официальный сайт агентства; direct agency relations contact неизвестен,2026-09-15,verified_official_site,first_party_official
Казахстан,Агентство недвижимости Евразия,Алматы,https://eurasia01.kz/,https://eurasia01.kz/,Unknown,Unknown,"квартиры, дома, коммерческие и земельные объекты",зарубежная недвижимость не подтверждена,B,Официальный сайт описывает услуги и географию Алматы,2026-09-15,verified_official_site,first_party_official
Казахстан,АлмаДом,Алматы,https://almadom.kz/,https://almadom.kz/,Unknown,Unknown,продажа квартир и сопровождение сделок,зарубежная недвижимость не подтверждена,B,Официальный сайт агентства; международный профиль требует проверки,2026-09-15,verified_official_site,first_party_official
