rank,developer,legal_name,official_website,official_sales_or_partner_url,sales_or_partner_email,sales_or_partner_phone,contact_type,contact_evidence,verification_status,priority,outreach_action,source_urls,last_verified
21,Layan Green Park,Layan Green Park Co Ltd,https://layan.greenparkphuket.com/,https://layan.greenparkphuket.com/,unknown,unknown,generic_sales,Official project site/contact route,verified,A,Request agency relations and lead registration,https://layan.greenparkphuket.com/,2026-09-15
22,Layan Verde,Layan Verde,https://layanverde.com/,https://layanverde.com/,unknown,unknown,generic_sales,Official project site/contact route,verified,B,Request broker terms,https://layanverde.com/,2026-09-15
23,Trichada Villas,Trichada Co Ltd,https://trichada.com/,https://trichada.com/,unknown,unknown,generic_sales,Official Phuket villa site/contact route,verified,A,Request current broker manager,https://trichada.com/,2026-09-15
24,Habitat Group,Habitat Group Co Ltd,https://www.habitatgroup.co.th/,https://www.habitatgroup.co.th/,unknown,unknown,generic_official,Official developer site/contact route,verified,B,Request Phuket project sales and agency onboarding,https://www.habitatgroup.co.th/,2026-09-15
25,Arthouse Group,Arthouse Group,https://arthousegroup.com/,https://arthousegroup.com/,unknown,unknown,generic_sales,Official Phuket developer contact route,verified,B,Request agency relations and inventory,https://arthousegroup.com/,2026-09-15
26,VIP Thailand Group,VIP Thailand Group,https://vipthailandgroup.com/,https://vipthailandgroup.com/,unknown,unknown,generic_sales,Official project/developer contact route,verified,B,Request external broker programme,https://vipthailandgroup.com/,2026-09-15
27,Andaman Riviera,Andaman Riviera,https://andamanriviera.com/,https://andamanriviera.com/,unknown,unknown,generic_sales,Official Phuket project contact route,verified,B,Request agency contact and inventory,https://andamanriviera.com/,2026-09-15
28,The Residence Prime,The Residence Prime,https://theresidenceprime.com/,https://theresidenceprime.com/,unknown,unknown,generic_sales,Official project contact route,verified,B,Request broker registration and lead protection,https://theresidenceprime.com/,2026-09-15
29,The Niche Estates,The Niche Estates,https://thenicheestates.com/,https://thenicheestates.com/,unknown,unknown,generic_sales,Official estate contact route,verified,C,Qualify legal entity and inventory,https://thenicheestates.com/,2026-09-15
30,Eden Development Phuket,Eden Development Phuket,https://edenphuket.com/,https://edenphuket.com/,unknown,unknown,generic_sales,Official development contact route,verified,B,Request sales/agency relations owner,https://edenphuket.com/,2026-09-15
31,7th Heaven Phuket,7th Heaven Phuket,https://7thheavenphuket.com/,https://7thheavenphuket.com/,unknown,unknown,generic_sales,Official project contact route,verified,C,Confirm legal developer and broker terms,https://7thheavenphuket.com/,2026-09-15
32,Royal Phuket Marina,Royal Phuket Marina,https://www.royalphuketmarina.com/,https://www.royalphuketmarina.com/,unknown,unknown,generic_sales,Official marina/residential contact route,verified,C,Ask residential sales and partner contact,https://www.royalphuketmarina.com/,2026-09-15
33,MontAzure,MontAzure,https://www.montazure.com/,https://www.montazure.com/,unknown,unknown,generic_sales,Official Kamala development contact route,verified,B,Request residence sales and agency relations,https://www.montazure.com/,2026-09-15
34,Marriott Residences Phuket,Marriott Residences Phuket,https://www.marriottresidencesphuket.com/,https://www.marriottresidencesphuket.com/,unknown,unknown,generic_sales,Official branded residence contact route; developer role to map,verified,B,Route to appointed residence sales team,https://www.marriottresidencesphuket.com/,2026-09-15
35,Rosewood Phuket Residences,Rosewood Phuket,https://www.rosewoodhotels.com/en/phuket,https://www.rosewoodhotels.com/en/phuket,unknown,unknown,generic_sales,Official brand/residence route; operator not assumed developer,verified,C,Identify contracting developer and sales channel,https://www.rosewoodhotels.com/en/phuket,2026-09-15
36,Cassia Phuket Residences,Cassia Phuket / Banyan Group,https://www.cassiaresidences.com/,https://www.cassiaresidences.com/,unknown,unknown,generic_sales,Official branded residence contact route,verified,B,Request broker partnership route,https://www.cassiaresidences.com/,2026-09-15
37,The Palm Residences Phuket,The Palm Residences,https://thepalmresidences.com/,https://thepalmresidences.com/,unknown,unknown,generic_sales,Official residence contact route,verified,C,Confirm contracting developer,https://thepalmresidences.com/,2026-09-15
38,Chalong Miracle Lakeview,Chalong Miracle Lakeview,https://chalongmiracle.com/,https://chalongmiracle.com/,unknown,unknown,generic_sales,Official project contact route,verified,C,Request current inventory and agency conditions,https://chalongmiracle.com/,2026-09-15
39,The Title Heritage,Rhom Bho / THE TITLE,https://thetitleresidence.com/,https://thetitleresidence.com/,unknown,unknown,generic_sales,Official project site; project-level record under existing developer,verified,B,Request project sheet under Rhom Bho,https://thetitleresidence.com/,2026-09-15
40,The Title Legendary,Rhom Bho / THE TITLE,https://thetitleresidence.com/,https://thetitleresidence.com/,unknown,unknown,generic_sales,Official project site; project-level record under existing developer,verified,B,Request project sheet under Rhom Bho,https://thetitleresidence.com/,2026-09-15
41,The Title Serenity,Rhom Bho / THE TITLE,https://thetitleresidence.com/,https://thetitleresidence.com/,unknown,unknown,generic_sales,Official project site; project-level record under existing developer,verified,B,Request project sheet under Rhom Bho,https://thetitleresidence.com/,2026-09-15
42,Origin Residences Bangtao,Origin Property PCL,https://origin.co.th/,https://origin.co.th/en/origin-agent-club,unknown,1498,agent_club,Official Origin Agent Club route; project-level record,verified,A,Use channel registration and request project owner,https://origin.co.th/en/origin-agent-club,2026-09-15
43,SO Origin Bangtao Beach,Origin Property PCL,https://origin.co.th/,https://origin.co.th/en/origin-agent-club,unknown,1498,agent_club,Official Origin Agent Club route; project-level record,verified,A,Use channel registration and request project owner,https://origin.co.th/en/origin-agent-club,2026-09-15
44,The Base Cherngtalay,Sansiri PCL,https://sansiri.com/location/phuket-en/,https://www.sansiri.com/agent-recruitment/en/,internationalbuyers@sansiri.com,unknown,agent_registration,Official Sansiri overseas-agent route; project-level record,verified,A,Register and request channel owner,https://www.sansiri.com/agent-recruitment/en/,2026-09-15
45,Setthasiri Kohkaew Retreat,Sansiri PCL,https://sansiri.com/location/phuket-en/,https://www.sansiri.com/agent-recruitment/en/,internationalbuyers@sansiri.com,unknown,agent_registration,Official Sansiri overseas-agent route; project-level record,verified,B,Register and request Phuket sales owner,https://www.sansiri.com/agent-recruitment/en/,2026-09-15
46,Botanica Foresta,AAP Architecture Properties & Development,https://www.botanicaluxuryvilla.com/,https://www.botanicaluxuryvilla.com/agent_club/,info@botanicaluxuryvilla.com,+66 9 8394 7097,agent_club,Official Botanica Agent Club route; project-level record,verified,A,Submit agent club request for availability,https://www.botanicaluxuryvilla.com/agent_club/,2026-09-15
47,Botanica Hythe,AAP Architecture Properties & Development,https://www.botanicaluxuryvilla.com/,https://www.botanicaluxuryvilla.com/agent_club/,info@botanicaluxuryvilla.com,+66 9 8394 7097,agent_club,Official Botanica Agent Club route; project-level record,verified,B,Request project sheet and registration,https://www.botanicaluxuryvilla.com/agent_club/,2026-09-15
48,Laguna Lakeside,Laguna Phuket,https://www.lagunaphuket.com/,https://www.lagunaphuket.com/contact-us/,SILK@lagunaphuket.com,+66 76 304 504,generic_sales,Official Laguna residence contact; project-level record,verified,B,Request appointed-agent contact,https://www.lagunaphuket.com/contact-us/,2026-09-15
49,Laguna Golf Residences Hibiscus,Laguna Phuket,https://www.lagunaphuket.com/,https://www.lagunaphuket.com/contact-us/,SILK@lagunaphuket.com,+66 76 304 504,generic_sales,Official Laguna residence contact; project-level record,verified,B,Request project agency terms,https://www.lagunaphuket.com/contact-us/,2026-09-15
50,The Ozone Residences,The Ozone Group Phuket,https://ozonephuket.com/,https://ozonephuket.com/,sales@theozonegroupphuket.com,+66 62 426 4197,generic_sales,Official Ozone sales route; project-level record,verified,A,Request broker programme and inventory,https://ozonephuket.com/,2026-09-15
51,The Ozone Kingdom,The Ozone Group Phuket,https://ozonephuket.com/,https://ozonephuket.com/,sales@theozonegroupphuket.com,+66 62 426 4197,generic_sales,Official Ozone sales route; project-level record,verified,B,Request project sheet and lead protection,https://ozonephuket.com/,2026-09-15
52,Anchan Lagoon Villas,Pearl Island Property Co Ltd,https://anchanvillas.com/,https://anchanvillas.com/,info@anchanvillas.com,unknown,generic_sales,Official Anchan sales route; project-level record,verified,B,Request project registration and commission terms,https://anchanvillas.com/,2026-09-15
53,Utopia Thalang,Utopia Corporation,https://utopia.co.th/,https://utopia.co.th/,unknown,unknown,generic_official,Official Utopia contact route; project-level record,verified,C,Confirm active inventory and appointed agents,https://utopia.co.th/,2026-09-15
54,The Zero Bang Tao,Zero Developments Co Ltd,https://thezerophuket.com/,https://thezerophuket.com/,unknown,unknown,generic_official,Official The Zero contact route; project-level record,verified,B,Request project sales and broker registration,https://thezerophuket.com/,2026-09-15
55,The Zero Nai Yang,Zero Developments Co Ltd,https://thezerophuket.com/,https://thezerophuket.com/,unknown,unknown,generic_official,Official The Zero contact route; project-level record,verified,B,Request inventory and lead protection,https://thezerophuket.com/,2026-09-15
56,Anantara Layan Residences,Minor International PCL,https://www.anantara.com/en/layan-phuket,https://www.anantara.com/en/layan-phuket/contact,unknown,unknown,generic_sales,Official branded residence/hospitality route; developer role to confirm,verified,C,Ask operator to identify appointed sales/developer contact,https://www.anantara.com/en/layan-phuket,2026-09-15
57,Avadina Hills by Anantara,Minor International PCL,https://www.anantara.com/en/avadina-hills-phuket,https://www.anantara.com/en/avadina-hills-phuket/contact,unknown,unknown,generic_sales,Official branded residence route; operator not assumed developer,verified,C,Request legal project party and sales channel,https://www.anantara.com/en/avadina-hills-phuket,2026-09-15
58,The Standard Residences Phuket,The Standard / project entity unknown,https://www.standardhotels.com/phuket,https://www.standardhotels.com/phuket,unknown,unknown,generic_sales,Official brand route; developer role to confirm,verified,C,Ask operator to identify sales partner,https://www.standardhotels.com/phuket,2026-09-15
59,The Naka Island Residences,Marriott / project entity unknown,https://www.marriott.com/en-us/hotels/hktni-the-naka-island-a-luxury-collection-resort-and-spa-phuket/,https://www.marriott.com/en-us/hotels/hktni-the-naka-island-a-luxury-collection-resort-and-spa-phuket/contact/,unknown,unknown,generic_sales,Official hospitality route; residence/developer status to confirm,verified,C,Do not market as developer until entity is confirmed,https://www.marriott.com/en-us/hotels/hktni-the-naka-island-a-luxury-collection-resort-and-spa-phuket/,2026-09-15
60,The Phuket Yacht Club Residences,The Phuket Yacht Club / entity unknown,https://www.thephuketyachtclub.com/,https://www.thephuketyachtclub.com/,unknown,unknown,generic_sales,Official project website/contact route; legal developer to confirm,verified,C,Qualify contracting developer before outreach,https://www.thephuketyachtclub.com/,2026-09-15
