developer_brand,legal_name,entity_type,country,market,website,official_contact_url,sales_email,sales_phone,partner_contact,projects_or_scope,agency_program,published_agent_commission,lead_registration,broker_portal,payment_plans,priority,contact_status,source_urls,last_verified,notes
Bali Baza Development,unknown,developer,Indonesia,Bali,https://balibaza.com/,https://balibaza.com/,unknown,unknown,unknown,Bali development and project sales,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://balibaza.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Novo Development,unknown,developer,Indonesia,Bali,https://novodevelopment.id/,https://novodevelopment.id/,info@novoubud.com,unknown,unknown,Bali residences and development projects,unknown,unknown,unknown,unknown,unknown,B,official_agent_route,https://novodevelopment.id/,2026-09-15,"Official page explicitly offers routes for development partners, investors and agents; email shown on official site."
Lyvin Properties,unknown,developer,Indonesia,Bali,https://lyvinproperties.co/,https://lyvinproperties.co/,sales@lyvinproperties.co,+62 811-3881-411,unknown,Bali resort properties,unknown,unknown,unknown,unknown,unknown,B,official_partner_route,https://lyvinproperties.co/,2026-09-15,Official site has partner-with-us route and lists sales email/phone; commission detail requires written confirmation.
BREIG Property Development,unknown,developer,Indonesia,Bali,https://breig-property.com/,https://breig-property.com/,unknown,unknown,unknown,Bali residences and villas,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://breig-property.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
AVALON Bali,unknown,developer,Indonesia,Bali,https://avalonbali.com/,https://avalonbali.com/,unknown,+62 812 4650 2783,unknown,Bali off-plan apartments,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://avalonbali.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Wahi Group,unknown,developer,Indonesia,Bali,https://wahigroup.id/,https://wahigroup.id/,info@wahigroup.id,+62 813 5975 229,unknown,Bali luxury real estate,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://wahigroup.id/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
PT Jam Asia Properti,unknown,developer,Indonesia,Bali,https://triproom.id/,https://triproom.id/,unknown,unknown,unknown,Bali boutique villa and hospitality development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://triproom.id/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Balitecture,unknown,developer,Indonesia,Bali,https://balitecture.com/,https://balitecture.com/,unknown,unknown,unknown,Bali property development and construction,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://balitecture.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Phu My Hung Development Corporation,unknown,developer,Vietnam,Vietnam,https://phumyhung.com.vn/,https://phumyhung.com.vn/,unknown,unknown,unknown,Ho Chi Minh City urban and residential development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://phumyhung.com.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Becamex IDC,unknown,developer,Vietnam,Vietnam,https://becamex.com.vn/,https://becamex.com.vn/,unknown,unknown,unknown,"Vietnam industrial, urban and infrastructure development",unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://becamex.com.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
SonKim Land,unknown,developer,Vietnam,Vietnam,https://sonkimland.com/,https://sonkimland.com/,unknown,unknown,unknown,Ho Chi Minh City residential and mixed-use development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://sonkimland.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
MikGroup,unknown,developer,Vietnam,Vietnam,https://mikgroup.vn/,https://mikgroup.vn/,unknown,unknown,unknown,Vietnam residential and resort development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://mikgroup.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
TTC Land,unknown,developer,Vietnam,Vietnam,https://ttcland.vn/,https://ttcland.vn/,unknown,unknown,unknown,Vietnam residential and commercial development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://ttcland.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Vietracimex,unknown,developer,Vietnam,Vietnam,https://vietracimex.com.vn/,https://vietracimex.com.vn/,unknown,unknown,unknown,Vietnam urban and property development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://vietracimex.com.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
KITA Group,unknown,developer,Vietnam,Vietnam,https://kitagroup.com.vn/,https://kitagroup.com.vn/,unknown,unknown,unknown,Vietnam residential and urban development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://kitagroup.com.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Him Lam,unknown,developer,Vietnam,Vietnam,https://himlam.com/,https://himlam.com/,unknown,unknown,unknown,Vietnam residential and urban development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://himlam.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Hai Phat Land,unknown,developer,Vietnam,Vietnam,https://haiphatland.com.vn/,https://haiphatland.com.vn/,unknown,unknown,unknown,Vietnam residential and urban development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://haiphatland.com.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Bcons Group,unknown,developer,Vietnam,Vietnam,https://bcons.com.vn/,https://bcons.com.vn/,unknown,unknown,unknown,Vietnam residential and urban development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://bcons.com.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Tasco Land,unknown,developer,Vietnam,Vietnam,https://tascoland.vn/,https://tascoland.vn/,unknown,unknown,unknown,Vietnam property development and urban projects,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://tascoland.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Viet Hung Urban Development and Investment JSC,unknown,developer,Vietnam,Vietnam,https://viet-hung.com.vn/,https://viet-hung.com.vn/,unknown,unknown,unknown,Hanoi urban development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://viet-hung.com.vn/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
AUM Development,unknown,developer,UAE,Dubai,https://aumdevelopment.com/,https://aumdevelopment.com/broker-registration/,info@aumdevelopment.com,+971 4 346 9998,unknown,Dubai residential developments,unknown,unknown,unknown,unknown,unknown,B,official_broker_registration,https://aumdevelopment.com/; https://aumdevelopment.com/broker-registration/,2026-09-15,Official broker-registration page lists contact email and phone; commission and lead protection require confirmation.
Prestige One Developments,unknown,developer,UAE,Dubai,https://prestigeone.ae/,https://prestigeone.ae/broker-registration/,enquiries@prestigeone.ae,800 77378443,unknown,Dubai premium residential developments,unknown,unknown,unknown,unknown,unknown,B,official_broker_registration,https://prestigeone.ae/; https://prestigeone.ae/broker-registration/,2026-09-15,Official broker-registration page invites partners and lists enquiries contact; commercial terms require confirmation.
The Luxe Developers,unknown,developer,UAE,Dubai,https://theluxedevelopers.com/,https://theluxedevelopers.com/become-a-channel-partner/,unknown,unknown,unknown,Dubai development projects,unknown,unknown,unknown,unknown,unknown,B,official_channel_partner_form,https://theluxedevelopers.com/; https://theluxedevelopers.com/become-a-channel-partner/,2026-09-15,Official channel-partner form requires company and broker-registration details; no public commission recorded.
Golden Woods Development,unknown,developer,UAE,Dubai,https://goldenwoodsuae.com/,https://goldenwoodsuae.com/become-a-channel-partner/,unknown,+971 4 256 7646,unknown,Dubai residential development,unknown,unknown,unknown,unknown,unknown,B,official_channel_partner_form,https://goldenwoodsuae.com/; https://goldenwoodsuae.com/become-a-channel-partner/,2026-09-15,Official channel-partner page and contact phone located; email displayed on page was not copied because rendering was obfuscated.
Swank Development,unknown,developer,UAE,Dubai,https://swankdevelopment.com/,https://swankdevelopment.com/brokers-registration/,info@swankdevelopment.com,04 884 5648,unknown,Dubai residential development,unknown,unknown,unknown,unknown,unknown,B,official_broker_registration,https://swankdevelopment.com/; https://swankdevelopment.com/brokers-registration/,2026-09-15,Official brokers-registration page lists contact email and phone; commission and payment timing require confirmation.
Dar Al Aiham Properties,unknown,developer,UAE,Dubai,https://www.daralaiham.com/,https://www.daralaiham.com/register-as-partner,unknown,unknown,unknown,"Dar Al Aiham One, Warsan 4, Dubai",unknown,unknown,unknown,unknown,unknown,B,official_channel_partner_form,https://www.daralaiham.com/; https://www.daralaiham.com/register-as-partner,2026-09-15,Official partner-registration page states it accepts UAE and international licensed brokers and offers dedicated broker support; commercial terms require confirmation.
Rabdan Developments,unknown,developer,UAE,Dubai,https://rabdan.ae/,https://rabdan.ae/partner,unknown,unknown,unknown,Dubai development projects,unknown,unknown,unknown,unknown,unknown,B,official_partner_form,https://rabdan.ae/; https://rabdan.ae/partner,2026-09-15,Official partner page describes a structured channel programme for licensed brokers and registered professionals.
Beyond Developments,unknown,developer,UAE,Dubai,https://beyond.ae/,https://beyond.ae/,unknown,unknown,unknown,Dubai waterfront and residential development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://beyond.ae/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
H&H Development,unknown,developer,UAE,Dubai,https://hhdevelopments.com/,https://hhdevelopments.com/,unknown,unknown,unknown,Dubai residential and hospitality development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://hhdevelopments.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
IFA Hotels & Resorts,unknown,developer,UAE,Dubai,https://www.ifahtl.com/,https://www.ifahtl.com/,unknown,unknown,unknown,Dubai and international resort and residential assets,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://www.ifahtl.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Mada’in Properties,unknown,developer,UAE,Dubai,https://madainproperties.com/,https://madainproperties.com/,unknown,unknown,unknown,Dubai residential development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://madainproperties.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
Vincitore Development,unknown,developer,UAE,Dubai,https://vincitoredevelopment.com/,https://vincitoredevelopment.com/,unknown,unknown,unknown,Dubai residential development,unknown,unknown,unknown,unknown,unknown,B,official_contact_route,https://vincitoredevelopment.com/,2026-09-15,Official company website/contact route located; agency terms and contracting entity require direct confirmation.
