developer_id,developer_group,legal_name,parent_group,entity_type,location_scope,official_website,partner_or_sales_route,route_class,named_contact,email,phone,priority,status,source_url,checked_at,notes
PHK-001,Rhom Bho Property / THE TITLE,Rhom Bho Property PCL,,developer,Phuket,https://thetitleresidence.com/,https://thetitleresidence.com/,generic_official_route,unknown,unknown,unknown,P0,actionable_needs_named_partner_contact,https://thetitleresidence.com/,2026-09-15,"Group all THE TITLE project rows here; direct WEGC relationship exists internally but current public partner owner still needs mapping."
PHK-002,Botanica Luxury Villas,AAP Architecture Properties & Development,,developer,Phuket,https://www.botanicaluxuryvilla.com/,https://www.botanicaluxuryvilla.com/agent_club/,agent_club,unknown,info@botanicaluxuryvilla.com,+66 9 8394 7097,P0,actionable,https://www.botanicaluxuryvilla.com/agent_club/,2026-09-15,"Official Agent Club; group Botanica Foresta, Hythe and other Botanica project rows under this developer family."
PHK-003,AssetWise,AssetWise PCL,,developer,Phuket,https://assetwise.co.th/,https://assetwise.co.th/,generic_official_route,unknown,unknown,unknown,P1,actionable_needs_partner_route,https://assetwise.co.th/,2026-09-15,"The Modeva belongs to AssetWise in the current build script; resolve any stale Rhom Bho attribution elsewhere."
PHK-004,Origin Property,Origin Property PCL,,developer,Phuket,https://origin.co.th/,https://origin.co.th/en/origin-agent-club,agent_club,unknown,unknown,1498,P0,actionable,https://origin.co.th/en/origin-agent-club,2026-09-15,"Group Origin Residences Bangtao and SO Origin rows here."
PHK-005,Sansiri,Sansiri PCL,,developer,Phuket,https://sansiri.com/,https://www.sansiri.com/agent-recruitment/en/,international_agent_registration,unknown,internationalbuyers@sansiri.com,unknown,P0,actionable,https://www.sansiri.com/agent-recruitment/en/,2026-09-15,"Official international agent route; public commission wording requires written confirmation per project."
PHK-006,Banyan Group Residences,Banyan Group,Banyan Group,developer_group,Phuket,https://banyangroupresidences.com/,https://banyangroupresidences.com/,generic_official_route,unknown,unknown,+66 76 362 333,P1,actionable_needs_partner_route,https://banyangroupresidences.com/,2026-09-15,"Parent/group row for Banyan-branded residences; do not count branded project names as separate developers."
PHK-007,Laguna Phuket / Laguna Residences,Laguna Phuket,Banyan Group,sales_channel_or_developer_entity,Phuket,https://www.lagunaphuket.com/,https://www.lagunaphuket.com/contact-us/,residence_sales_route,unknown,SILK@lagunaphuket.com,+66 76 304 504,P0,actionable,https://www.lagunaphuket.com/contact-us/,2026-09-15,"Keep distinct operational sales route while linking to Banyan parent; group Laguna Lakeside/Hibiscus rows beneath it."
PHK-008,Utopia Corporation,Utopia Corporation,,developer,Phuket,https://utopia.co.th/,https://utopia.co.th/,generic_official_route,unknown,unknown,unknown,P1,actionable_needs_partner_route,https://utopia.co.th/,2026-09-15,"Group Utopia Thalang and other Utopia project rows here after active-inventory check."
PHK-009,Thai Fareast Property / Bluepoint,"Thai Fareast Property Co., Ltd.",,developer,Phuket,https://bluepointcondo.com/,https://bluepointcondo.com/,generic_official_route,unknown,unknown,unknown,P2,candidate,https://bluepointcondo.com/,2026-09-15,"Project/developer relationship retained from first-party site; agency route not yet evidenced."
PHK-010,The Ozone Group Phuket,"The Ozone Group Phuket Co., Ltd.",,developer,Phuket,https://ozonephuket.com/,https://ozonephuket.com/,direct_sales,Anil (EN/CN/RU),sales@theozonegroupphuket.com,+66 62 426 4197; +66 62 426 3928,P0,actionable,https://www.ozonephuket.com/,2026-09-15,"Group Ozone Residences and Ozone Kingdom under this developer."
PHK-011,The Zero Phuket,"Zero Developments Co., Ltd.",,developer,Phuket,https://thezerophuket.com/,https://thezerophuket.com/,generic_official_route,unknown,unknown,unknown,P1,actionable_needs_partner_route,https://thezerophuket.com/,2026-09-15,"Group The Zero Bang Tao and The Zero Nai Yang beneath this entity."
PHK-012,Anchan Villas / Pearl Island Property,"Pearl Island Property Co., Ltd.",,developer,Phuket,https://anchanvillas.com/,https://anchanvillas.com/,direct_sales,unknown,info@anchanvillas.com,+66 92 389 9000,P0,actionable,https://anchanvillas.com/,2026-09-15,"Sales office route; group Anchan Lagoon and other Anchan projects here."
PHK-013,The ONE Group,The ONE Group,,developer,Phuket,https://theonephuket.com/,https://theonephuket.com/,generic_official_route,unknown,unknown,unknown,P2,candidate,https://theonephuket.com/,2026-09-15,"Need legal entity and partner contact confirmation."
PHK-014,SKHAI,SKHAI,,developer_or_project_group,Phuket,https://skhai.com/,https://skhai.com/,generic_official_route,unknown,unknown,unknown,P2,candidate,https://skhai.com/,2026-09-15,"Need legal entity and agency route confirmation."
PHK-015,Sunny Holding,Sunny Holding,,developer,Phuket,https://sunnyholding.com/development/,https://sunnyholding.com/development/,generic_official_route,unknown,unknown,unknown,P2,candidate,https://sunnyholding.com/development/,2026-09-15,"Developer page confirmed; partner route pending."
PHK-016,Phuket9,Phuket9,,developer,Phuket,https://phuket9.com/,https://phuket9.com/,direct_sales,unknown,sales@phuket9.com,+66 98 674 7096,P0,actionable,https://phuket9.com/,2026-09-15,"Direct sales route; current B2B/agency terms require written confirmation."
