developer,brands_or_projects,official_site,public_contact,email,phone,current_relationship_status,source,checked_at,notes
"Rhom Bho Property PCL","The Title; Casa de Monte","https://www.thetitleresidence.com/","Head office / IR","IR@rhombho.co.th","+66 (0)76-624-999","DIRECT CONTRACT CONFIRMED internally; existing WEGC agency agreement is anchor supply relationship","https://investor.rhombho.co.th/en/information-inquiry/contact","2026-09-16","Public company; next pass should identify direct agency-relations contact separate from IR"
"AssetWise PCL","The Modeva; AssetWise Phuket projects","https://assetwise.co.th/en/","General contact form","","02-168-0000","Current catalog contains The Modeva; direct agency agreement not verified in this pass","https://assetwise.co.th/en/contact/","2026-09-16","Need Phuket sales / broker-partnership contact"
"Botanica Luxury Phuket","Grand Avenue; Hythe; Four Seasons; Modern Loft; Chalong Bay; Foresta; Forestique; Prestige; MontAzure; Sky Valley; Wisdom","https://botanicaluxury.com/en","Sales","info@botanicaluxuryvilla.com","+66 91 059 1461","Discovery candidate; direct agency agreement not verified","https://botanicaluxury.com/en","2026-09-16","High-priority luxury villa developer for network pitch"
"Sansiri PCL","Rhea by Sansiri; The Base Cherngtalay; The Base Rise","https://www.sansiri.com/","Investor/business enquiry","ir@sansiri.com","+66 2027 7888 ext 1063-1064","Discovery candidate; direct agency agreement not verified","https://investor.sansiri.com/th/information-inquiry/contact","2026-09-16","Need proper Phuket sales/broker contact rather than IR"
"Origin Property PCL","SO Origin Lagoon; Origin Residences Bangtao; SO Origin Kata","https://origin.co.th/","Corporate contact","","1498","Discovery candidate; direct agency agreement not verified","https://origin.co.th/","2026-09-16","Need broker/agency-relations contact and current Phuket inventory"
"Utopia Corporation","Utopia Naiharn and portfolio of Phuket developments","https://utopia.co.th/","Property Sales & Investment","info@utopia.co.th","+66 8 088 69660","Discovery candidate","https://utopia.co.th/contact-us","2026-09-16","Official site states 15 developments; direct sales contact publicly available"
"Andaman Asset Solution Co., Ltd.","The Residence; The Trinity; The Victory; Trinity Village; Residence Prime","https://andamanassetsolution.com/","Sales Director Mr. Sunthorn A. (Nhong)","contact form / sales emails shown on site","+66 98 936 9542","Discovery candidate","https://andamanassetsolution.com/contact/","2026-09-16","Excellent outreach target because named sales director and direct contact are public"
"VIP Property Development Co., Ltd.","VIP Grand Kata; VIP Mercury/Wyndham La Vita; VIP Great Hill; VIP Galaxy; VIP Venus Karon; VIP Space Odyssey; VIP TropiKa","https://www.vipthailand.com/","Marketing / Sales","contact form / public email on site","+66 (0)95 029 6644","Discovery candidate","https://www.vipthailand.com/contact/","2026-09-16","Official site explicitly positions company as Phuket developer; good partner target"
"Phuket9 Real Estate Development Co., Ltd.","Rawayana; Hightone; Phenomenon; Wekata3 and other projects","https://phuket9.com/","Sales","sales@phuket9.com","+66 82 107 7912","Discovery candidate","https://phuket9.com/ ; https://ru.phuket9.com/contacts","2026-09-16","Russian-speaking sales infrastructure already exists; high-priority partner target"
"Sri panwa Residence","Sri panwa Phuket; Sri panwa Lagoon; Baba Beach Club Natai residences","https://www.sripanwaresidence.com/","Residence sales","residence@sripanwa.com","+66 76 371 000","Discovery candidate","https://www.sripanwaresidence.com/contact","2026-09-16","Luxury/premium supply candidate; Phuket and Natai assets"
