developer_brand,legal_name,entity_type,website,sales_email,sales_phone,partner_contact,projects,districts,price_band,foreign_buyer_focus,published_agent_commission,commission_source,direct_agreement_status,existing_wegc_relation,priority,notes,source_urls,last_verified,source_type,official_site_status
Rhom Bho Property / THE TITLE,Rhom Bho Property Public Company Limited,developer,https://thetitleresidence.com/,,,unknown,The Title Sierra; Vivi; Artrio; Vivana; Biancana; Balcony; Olive; Adora; Katabello; Kirara; Coralina; Cielo; Halo; Heritage; Legendary; Serenity,Rawai; Bang Tao; Kamala; Surin; Nai Yang,unknown,yes,unknown,unknown,unknown,unknown,A,Official news identifies Rhom Bho and THE TITLE; commission and broker terms require direct confirmation,https://thetitleresidence.com/news/; https://title-phuket-official.com/en/,2026-09-15,official,verified
Botanica Luxury Villas,AAP Architecture Properties & Development / Botanica Luxury Phuket,developer,https://botanicaluxuryvilla.com/,,,unknown,Botanica Grand Avenue; Hythe; Four Seasons; Modern Loft; Foresta; Forestique; Prestige; MontAzure,Cherng Talay; Kamala; Chalong,unknown,yes,unknown,unknown,unknown,unknown,A,Official site states Phuket portfolio and lists 31 projects; partnership mechanics require confirmation,https://botanicaluxuryvilla.com/,2026-09-15,official,verified
AssetWise,AssetWise Public Company Limited,developer,https://assetwise.co.th/,,,unknown,The Modeva; co-development attribution for The Title projects requires verification,Bang Tao; Phuket,unknown,yes,unknown,unknown,unknown,unknown,A,Official corporate site used for identity; Phuket project and agency terms need project-level verification,https://assetwise.co.th/; https://propertyscout.co.th/en/project/phuket/,2026-09-15,official,verified
Origin Property,Origin Property Public Company Limited,developer,https://origin.co.th/,,,unknown,SO Origin Lagoon; Origin Residences Bangtao; Origin Place Centre Phuket; The Origin Centre Phuket; SO Origin Kata; Origin Kathu–Patong,Cherng Talay; Wichit; Kathu/Patong; Kata,unknown,yes,unknown,unknown,unknown,unknown,A,Official corporate site; project list cross-checked against public Phuket project directory,https://origin.co.th/; https://propertyscout.co.th/en/project/phuket/,2026-09-15,official,verified
Sansiri,Sansiri Public Company Limited,developer,https://sansiri.com/location/phuket-en/,,,unknown,The Base Cherngtalay; The Base Rise; other Phuket projects listed on official location page,Cherngtalay; Patong; Phuket,unknown,yes,unknown,unknown,unknown,unknown,A,Official Phuket page states more than 21 Phuket projects; commission and partner contact not published,https://sansiri.com/location/phuket-en/; https://sansiri.com/en/,2026-09-15,official,verified
Banyan Group Residences,Banyan Group,developer / branded residences,https://banyangroupresidences.com/,,+66 76 362 333,unknown,Laguna Bayside; Yara; Beach Residences Varuna; Oceanus; Laguna Lakelands Waterside; Seashore,Bang Tao / Laguna,unknown,yes,unknown,unknown,unknown,unknown,A,Official residence site publishes current Phuket projects; developer/operator roles must be separated per project,https://banyangroupresidences.com/; https://banyangroupresidences.com/banyan-tree-residences,2026-09-15,official,verified
Utopia Corporation,Utopia Corporation,developer,https://utopia.co.th/,,,unknown,Utopia projects (project list to verify from official portfolio),Phuket island,unknown,yes,unknown,unknown,unknown,unknown,B,Official site confirms own development and Phuket developer identity; project and agency details require sales call,https://utopia.co.th/,2026-09-15,official,verified
Thai Fareast Property / Bluepoint,"Thai Fareast Property Co., Ltd.",developer,https://bluepointcondo.com/,,,unknown,Bluepoint Condominiums,Patong,unknown,unknown,unknown,unknown,unknown,unknown,C,Official site identifies development team and project; current sales/agency status requires confirmation,https://bluepointcondo.com/; https://bluepoint.no/en/,2026-09-15,official,verified
The Ozone Group Phuket,"The Ozone Group Phuket Co., Ltd.",developer,https://ozonephuket.com/,sales@theozonegroupphuket.com,+66 62 426 4197; +66 62 426 3928,unknown,The Ozone Residences; The Ozone Kingdom; Registry Collection Phuket Hotel; other portfolio projects,Cherngtalay / Bang Tao,unknown,yes,unknown,unknown,unknown,unknown,A,"Official site publishes legal/brand identity, portfolio description and sales contacts; commission/lead registration not published",https://ozonephuket.com/,2026-09-15,official,verified
The Zero Phuket,"Zero Developments Co., Ltd.",developer,https://thezerophuket.com/,,,unknown,The Zero Bang Tao; The Zero Nai Yang; Silhouette by The Zero,Bang Tao; Nai Yang,unknown,yes,unknown,unknown,unknown,unknown,B,Official site confirms Phuket developer and project positioning; contracting and broker programme require verification,https://thezerophuket.com/; https://propertyscout.co.th/en/project/phuket/,2026-09-15,official,verified
Anchan Villas / Pearl Island Property,"Pearl Island Property Co., Ltd.",developer,https://anchanvillas.com/,info@anchanvillas.com,,unknown,Anchan Villas; Anchan Lagoon Villas,Thalang / Cherng Talay,unknown,yes,unknown,unknown,unknown,unknown,B,Official brand site; legal-name attribution supported by secondary project source and needs DBD/direct confirmation,https://anchanvillas.com/; https://fazwaz.com/projects/thailand/phuket/thalang/choeng-thale/anchan-villas,2026-09-15,official,verified
The ONE Group,The ONE Group,developer,https://theonephuket.com/,,,unknown,Phuket residential complexes and villas (project names require official portfolio extraction),Phuket,unknown,yes,unknown,unknown,unknown,unknown,B,Official site describes developer and Phuket focus; portfolio and agency terms not yet published in accessible page,https://theonephuket.com/,2026-09-15,official,verified
SKHAI,SKHAI,developer,https://skhai.com/,,,unknown,Phuket Sunrise Lake Phuket Lakeside Villas,Phuket,unknown,yes,unknown,unknown,unknown,unknown,C,Official site lists Phuket development; partner terms not published,https://skhai.com/,2026-09-15,official,verified
Sunny Holding,Sunny Holding,developer,https://sunnyholding.com/development/,,,unknown,Luma Biohacking Resort; The Sunny Moon (project attribution to verify),Nai Harn; Phuket,unknown,yes,unknown,unknown,unknown,unknown,B,Official development page states Phuket and lists projects; commission/lead registration unknown,https://sunnyholding.com/development/,2026-09-15,official,verified
Phuket9,Phuket9 (legal entity unknown),developer,https://phuket9.com/,sales@phuket9.com,+66 98 674 7096,unknown,Phuket9 portfolio (five projects referenced in public profile; names require official extraction),Phuket,unknown,unknown,unknown,unknown,unknown,unknown,B,Official domain supplied in public company profile; legal entity and current portfolio need confirmation,https://phuket9.com/; https://facebook.com/OzonePhuket/posts/1069106499218044/,2026-09-15,official,verified
The Aristo Group,unknown,candidate / requires verification,,,,unknown,Palmyrah Surin Beach Residence; The Aristo condominiums,Surin; Bang Tao; Patong; Karon,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
"Boat Pattana Co., Ltd.",unknown,candidate / requires verification,,,,unknown,Boat Lagoon / Phuket residential communities,Phuket island,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
Serene Innovations & Developments,unknown,candidate / requires verification,,,,unknown,Serene Raya; Serene Condo Layan; Terra Grove Layan; Urban Scapes Layan,Bang Jo; Layan,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
Thai Molman Real Estate,unknown,candidate / requires verification,,,,unknown,Asherah Villas,Bang Tao / Laguna,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
"Able Land Co., Ltd.",unknown,candidate / requires verification,,,,unknown,Ever Prime Residences Karon,Karon,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
