project_name,district,kind,source_layer,raw_developer,developer_family,developer_mapping_confidence,contracting_entity_status,notes
The Title Sierra,Банг Тао,condo,direct,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row; group mapping high-confidence."
The Title Vivi,Банг Тао,condo,direct,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row."
The Title Artrio,Банг Тао,condo,direct,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row."
The Modeva,Банг Тао,condo,direct,AssetWise,AssetWise PCL,high,needs_project_confirmation,"Current generator maps Modeva to AssetWise; stale conflicting attribution elsewhere must not override without evidence."
The Title Vivana,Камала,condo,direct,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row."
The Title Biancana,Сурин,condo,direct,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row."
The Title Balcony,Най Янг,condo,direct,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row."
The Olive,Най Янг,condo,direct,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row; raw developer explicitly Rhom Bho / The Title."
The Title Katabello,Ката · Карон,condo,direct,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row."
The Title Adora,Раваи,condo,direct,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row."
Casa de Monte,Ко Кео,villa,direct,Rhom Bho,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"Direct WEGC row; raw developer Rhom Bho."
The Title Coralina,Камала,condo,market,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"EXTRA_EN row."
The Title Cielo,Банг Тао,condo,market,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"EXTRA_EN row."
The Title Halo,Банг Тао,condo,market,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"EXTRA_EN row."
The Title Heritage,Банг Тао,condo,market,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"EXTRA_EN row."
The Title Legendary,Банг Тао,condo,market,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"EXTRA_EN row."
The Title Serenity,Камала,condo,market,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"EXTRA_EN row."
The Title Villa Kirara,Банг Тао,villa,market,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"EXTRA_EN row."
The Title Villa Estella,Банг Тао,villa,market,Rhom Bho / The Title,Rhom Bho Property / THE TITLE,high,needs_project_confirmation,"EXTRA_EN row."
Botanica Grand Avenue,Чернг Талай,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
Botanica Hythe,Чернг Талай,condo,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
Botanica Four Seasons,Чалонг,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
Botanica Modern Loft,Чернг Талай,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
Botanica Chalong Bay,Чалонг,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
