id,country,city,brand,official_domain,contact_page,general_email,general_phone,business_segment,overseas_desk_status,decision_role,first_party_route_url,source_status,owner_review_reason,duplicate_group,outreach_status,checked_at,source_urls
RU-NIGHT-A-001,Russia,Калининград,ВДОМЕ,https://vdome-estate.ru/,https://vdome-estate.ru/,,+7 931 600-07-01,regional_newbuild_investment,unknown,corporate_contact_route,https://vdome-estate.ru/,first_party_current,"Новостройки и инвестиционная подача; региональный клиентский пул.",vdome-estate.ru,not_authorized,2026-09-18,https://vdome-estate.ru/
RU-NIGHT-A-002,Russia,Великий Новгород,СЕВЕР,https://severvn.ru/,https://severvn.ru/,,+7 911 605-60-79,regional_residential_newbuild,unknown,corporate_contact_route,https://severvn.ru/,first_party_current,"Локальное агентство, новостройки и полный цикл.",severvn.ru,not_authorized,2026-09-18,https://severvn.ru/
RU-NIGHT-A-003,Russia,Курск,Монолит,https://kurskmonolit.ru/,https://kurskmonolit.ru/contacts/,anmonolit@mail.ru,+7 4712 31-08-57,regional_residential,unknown,corporate_contact_route,https://kurskmonolit.ru/contacts/,first_party_current,"Региональное агентство с длительной историей и общим корпоративным маршрутом.",kurskmonolit.ru,not_authorized,2026-09-18,https://kurskmonolit.ru/contacts/
RU-NIGHT-A-004,Russia,Белгород,Грант,https://grant-dom.ru/,https://grant-dom.ru/,,+7 4722 41-60-75,regional_residential_country,unknown,corporate_contact_route,https://grant-dom.ru/,first_party_current,"Региональная база жилой и загородной недвижимости.",grant-dom.ru,not_authorized,2026-09-18,https://grant-dom.ru/
RU-NIGHT-A-005,Russia,Владивосток,AFLAT,https://aflat.online/,https://aflat.online/,,,far_east_newbuild_international,confirmed_signal_thailand,corporate_contact_route,https://aflat.online/,first_party_current,"Сильная первичка Владивостока; официальный сайт отдельно предлагает недвижимость в Таиланде.",aflat.online,not_authorized,2026-09-18,https://aflat.online/
RU-NIGHT-A-006,Russia,Томск,Аурум,https://aurum70.ru/,https://aurum70.ru/,au.rum2022@yandex.ru,+7 903 915 96 59,regional_investment_international_signal,confirmed_signal,corporate_contact_route,https://aurum70.ru/,partial_entity_metadata_hold,"Сайт заявляет инвестиционные объекты в РФ и за границей; реквизиты на странице выглядят неполными и требуют отдельной проверки.",aurum70.ru,not_authorized,2026-09-18,https://aurum70.ru/
RU-NIGHT-A-007,Russia,Ижевск,Гранд,https://izh-grand.ru/,https://izh-grand.ru/,Izh-grand@mail.ru,+7 3412 47-75-34,regional_newbuild,unknown,corporate_contact_route,https://izh-grand.ru/,first_party_current,"Прямо заявляет подбор новостроек и работу с застройщиками.",izh-grand.ru,not_authorized,2026-09-18,https://izh-grand.ru/
RU-NIGHT-A-008,Russia,Великий Новгород,КВАРТАЛ,https://kvartal53.ru/,https://kvartal53.ru/,,+7 921 690-67-61,regional_newbuild,unknown,corporate_contact_route,https://kvartal53.ru/,first_party_current,"Официальный сайт прямо предлагает помощь при покупке квартир в новостройках.",kvartal53.ru,not_authorized,2026-09-18,https://kvartal53.ru/
RU-NIGHT-A-009,Russia,Пенза,КИРШ,https://kirsh58.ru/,https://kirsh58.ru/contact/,center@kirsh.ru,+7 8412 99-00-99,regional_residential,unknown,"director_listed_use_corporate_switchboard",https://kirsh58.ru/contact/,first_party_current,"Работающее агентство с корпоративными контактами и управленческой структурой на официальной странице.",kirsh58.ru,not_authorized,2026-09-18,"https://kirsh58.ru/|https://kirsh58.ru/contact/"
RU-NIGHT-A-010,Russia,Владивосток,PRO ESTATE,https://proestate.global/,https://proestate.global/,,,far_east_newbuild_investment,unknown,corporate_contact_route,https://proestate.global/,first_party_current,"Специализация на новостройках Владивостока и инвестиционных подборках.",proestate.global,not_authorized,2026-09-18,https://proestate.global/
