id,country,city,brand,official_domain,contact_page,general_email,general_phone,business_segment,overseas_desk_status,decision_role,first_party_route_url,source_status,owner_review_reason,duplicate_group,outreach_status,checked_at,source_urls
RU-NIGHT-B-001,Russia,Орск,Сити-Групп,https://city-g.ru/,https://city-g.ru/,,,regional_residential,unknown,corporate_contact_route,https://city-g.ru/,first_party_current,"Regional agency with current first-party catalogue and partner-network positioning.",city-g.ru,not_authorized,2026-09-18,https://city-g.ru/
RU-NIGHT-B-002,Russia,Тверь,ДомТверь,https://domtver.org/,https://domtver.org/,info@domtver.org,+7 (4822) 30-10-90,regional_residential,unknown,corporate_contact_route,https://domtver.org/,first_party_current,"Long-running regional agency with current corporate route and active residential catalogue.",domtver.org,not_authorized,2026-09-18,https://domtver.org/
RU-NIGHT-B-003,Russia,Ставрополь,Welcome,https://www.welcome26.ru/,https://www.welcome26.ru/,info@welcome26.ru,+7 962 400 20 30,regional_newbuild_developer_sales,unknown,commercial_or_partnership_owner_via_corporate_route,https://www.welcome26.ru/,first_party_current,"New-build catalogue plus first-party developer sales/marketing cases; strong B2B adjacency.",welcome26.ru,not_authorized,2026-09-18,https://www.welcome26.ru/
RU-NIGHT-B-004,Russia,Саратов,Империя,https://an64.ru/,https://an64.ru/,,,regional_full_cycle,unknown,corporate_contact_route,https://an64.ru/,first_party_current,"Established Saratov agency with residential/commercial and transaction-support positioning.",an64.ru,not_authorized,2026-09-18,https://an64.ru/
RU-NIGHT-B-005,Russia,Чебоксары,Агентство на Ярославской / HOUSE GROUP,https://housegroup21.ru/,https://housegroup21.ru/contacts/,A89877609581@gmail.com,+7 987-760-95-81,regional_residential_international_demand_signal,inbound_international_signal_spain,corporate_contact_route,https://housegroup21.ru/contacts/,first_party_current,"Public first-party request feed includes a 2025 inquiry for property in Spain; agency scale still needs qualification.",housegroup21.ru,not_authorized,2026-09-18,"https://housegroup21.ru/|https://housegroup21.ru/contacts/"
RU-NIGHT-B-006,Russia,Тверь,ТИТАН Недвижимость,https://antitan.ru/,https://antitan.ru/,,+7 (920) 151-00-11,regional_residential_legal,unknown,corporate_contact_route,https://antitan.ru/,first_party_current,"Regional brokerage with in-house transaction/legal support and current first-party route.",antitan.ru,not_authorized,2026-09-18,https://antitan.ru/
RU-NIGHT-B-007,Russia,Оренбург,АВЕГА,https://avega56.ru/,https://avega56.ru/,avega056@mail.ru,+7 (922) 880-20-40,regional_newbuild,unknown,corporate_contact_route,https://avega56.ru/,first_party_current,"Current first-party new-build service, corporate entity label and general route.",avega56.ru,not_authorized,2026-09-18,"https://avega56.ru/|https://avega56.ru/zhilye-kompleksy/zhk-svoy-bereg-ufa-63188/"
RU-NIGHT-B-008,Russia,Липецк,ViBx,https://vibx.ru/,https://vibx.ru/,info@vibx.ru,+7 (4742) 90-04-91,regional_residential,unknown,corporate_contact_route,https://vibx.ru/,first_party_current,"Independent Lipetsk agency with current catalogue and general corporate route.",vibx.ru,not_authorized,2026-09-18,https://vibx.ru/
RU-NIGHT-B-009,Russia,Брянск,РИЭЛ-МАКС,https://riel-max.ru/,https://riel-max.ru/kontakty,rielmax032@gmail.com,+7 (4832) 32-32-32,regional_newbuild,unknown,commercial_or_partnership_owner_via_corporate_route,https://riel-max.ru/kontakty,first_party_current,"Explicit new-build selection service and current central contact route.",riel-max.ru,not_authorized,2026-09-18,"https://riel-max.ru/|https://riel-max.ru/kontakty"
RU-NIGHT-B-010,Russia,Тамбов,Квартал,https://kvartal68.ru/,https://kvartal68.ru/,,+7 (4752) 39-66-44,regional_full_cycle,unknown,corporate_contact_route,https://kvartal68.ru/,first_party_current,"Established regional agency with broad residential, exchange, mortgage and transaction-support services.",kvartal68.ru,not_authorized,2026-09-18,https://kvartal68.ru/
RU-NIGHT-B-011,Russia,Брянск,БСН Недвижимость,https://bsnnedvizhimost.ru/,https://bsnnedvizhimost.ru/,,+7 (4832) 37-10-77,regional_large_newbuild,unknown,commercial_or_newbuild_owner_via_corporate_route,https://bsnnedvizhimost.ru/,first_party_current,"Structured first-party new-build catalogue and central corporate route.",bsnnedvizhimost.ru,not_authorized,2026-09-18,"https://bsnnedvizhimost.ru/|https://bsnnedvizhimost.ru/catalog/novostroyki/zhilye-kompleksy/6618/"
RU-NIGHT-B-012,Russia,Тюмень,Формула,https://formula-agency.ru/,https://formula-agency.ru/,,+7 (3452) 69-84-01,regional_newbuild_specialist,unknown,commercial_or_partnership_owner_via_corporate_route,https://formula-agency.ru/,first_party_current,"Dedicated new-build portal/agency; first-party page publishes current corporate entity identifiers and general route.",formula-agency.ru,not_authorized,2026-09-18,https://formula-agency.ru/
RU-NIGHT-B-013,Russia,КМВ / Ессентуки,ADASTRA,https://adastra-kmv.ru/,https://adastra-kmv.ru/,,,resort_region_newbuild,unknown,corporate_contact_route,https://adastra-kmv.ru/,first_party_current,"Resort-region brokerage with a current structured new-build catalogue across KMW cities.",adastra-kmv.ru,not_authorized,2026-09-18,https://adastra-kmv.ru/
