name,city,website,email,phone,foreign_property_signal,scale_signal,priority,source,checked_at,notes
"Дельта Инвест","Уфа","https://deltainvest-ufa.ru/","","","Сайт прямо заявляет 3000 объектов в России, ОАЭ, Турции и Таиланде","100+ агентов; 30+ застройщиков-партнёров","A","https://deltainvest-ufa.ru/","2026-09-16","Высокий приоритет: уже продают зарубежную недвижимость и имеют крупную агентскую команду"
"РиэлтКонсалт","Омск","https://rieltconsult.ru/","info@rieltconsult.ru","+7 (3812) 63-63-63","Есть межрегиональные сделки; зарубежка на сайте не подтверждена","1200+ отзывов; специалисты 10+ лет; широкий набор услуг","A","https://rieltconsult.ru/","2026-09-16","Сильный локальный бренд; хороший кандидат на запуск нового зарубежного направления"
"Грановит","Новосибирск","https://www.granovit.ru/","","","Зарубежка в найденном источнике не подтверждена","Крупный локальный каталог новостроек и вторички","A","https://www.granovit.ru/","2026-09-16","Сильный локальный игрок; требуется добрать контакт партнёрского/коммерческого отдела"
"Диал","Екатеринбург","https://dial93.ru/","main@dial93.ru","+7 (343) 222-21-81","Зарубежка не подтверждена","Новостройки, вторичка, юридическое сопровождение","A","https://dial93.ru/","2026-09-16","Хороший fit для оффера «добавьте зарубежное направление»"
"Титул","Ростов-на-Дону","https://realtitul.ru/","client@realtitul.ru","+7 (863) 290-78-78","Зарубежка не подтверждена","Несколько офисов; отдельный центр продаж новостроек","A","https://realtitul.ru/","2026-09-16","Сильный региональный бренд с инфраструктурой продаж новостроек"
"Новая жизнь","Самара","https://www.nlre.ru/","nlre@bk.ru","8 (800) 250-04-53","Зарубежка не подтверждена","Около 2000 проданных квартир за 5 лет; несколько офисов","A","https://www.nlre.ru/","2026-09-16","Масштаб достаточный для пилота международного направления"
"ГиперДОМ","Казань","https://www.giperdom.net/","agentstvo@giperdom.net","+7 (843) 203-20-77","Зарубежка не подтверждена","Работа с новостройками и застройщиками","A","https://www.giperdom.net/","2026-09-16","Подходит по профилю: новостройки и клиентский поток"
"CentRoom","Казань","https://centroom.ru/","sale@centroom.ru","+7 (843) 240-02-02","Зарубежка не подтверждена","Опыт сотрудников 5+ лет; агентство полного цикла","B","https://centroom.ru/","2026-09-16","Средний локальный игрок; хороший тест оффера для независимых агентств"
"ЧФК недвижимость","Краснодар","https://bsfc.com/","bsfc@bsfc.com","8 (800) 700-1-800","Зарубежка не подтверждена","Первичка, вторичка, дома, коммерция","A","https://bsfc.com/","2026-09-16","Краснодарская аудитория потенциально релевантна международной недвижимости"
"На ЮГ","Краснодар","https://www.nayug24.ru/","krd@nayug24.ru","+7 929 849-88-28","Зарубежка не подтверждена","Переезды, инвестиционно-жизненная аудитория, активные соцсети руководителя","A","https://www.nayug24.ru/","2026-09-16","Сильный fit по аудитории клиентов, рассматривающих смену региона/места жизни"
"Континент","Ростов-на-Дону","https://continent-realty.com/","kontinent-r@mail.ru","8 (863) 256-88-87","Зарубежка не подтверждена","Инвестиционные проекты, девелопмент-консалтинг, маркетинг объектов","A","https://continent-realty.com/","2026-09-16","Интересен как B2B-партнёр благодаря инвестиционному и девелоперскому профилю"
"Альмерия","Ростов-на-Дону","https://almeriy.ru/","info@almeriy.ru","+7 (863) 241-23-13","Зарубежка не подтверждена","Жилая и коммерческая недвижимость, ипотека","B","https://almeriy.ru/","2026-09-16","Локальный агентский канал; подходит для теста массового outreach"
"Золотой ключик","Нижний Новгород","https://goldkeynn.ru/","bossgoldkey@mail.ru","+7 (831) 435-10-08","Зарубежка не подтверждена","Несколько офисов; сертифицированный локальный бренд","A","https://goldkeynn.ru/","2026-09-16","Есть публичные контакты руководства; удобен для персонализированного outreach"
"Антей","Нижний Новгород","https://anteinn.ru/","ananteinn@mail.ru","+7 (831) 413-19-19","Зарубежка не подтверждена","Работает с 2015; сертифицировано; жилой рынок полного цикла","B","https://anteinn.ru/","2026-09-16","Небольшой/средний локальный игрок — точно соответствует целевой гипотезе МИРА"
"Донских Недвижимость","Нижний Новгород","https://donreal.ru/","ksdonskih@yandex.ru","+7 (986) 759-34-29","Зарубежка не подтверждена","7 лет; 300+ сделок; юрист в штате","B","https://donreal.ru/","2026-09-16","Хороший пример небольшого профессионального агентства, которому можно дать новый продукт"
"РестА-НН","Нижний Новгород","https://restann.ru/","restann@yandex.ru","+7 (831) 243-01-61","Зарубежка не подтверждена","Работает с 2009; вторичка, новостройки, загородная недвижимость","B","https://restann.ru/","2026-09-16","Классический локальный агентский профиль"
"Хайлайт","Нижний Новгород","https://an-hl.ru/","Anhlnn@mail.ru","+7 (930) 071-10-70","Зарубежка не подтверждена","Клубное агентство; все застройщики, вторичка и загородная недвижимость","B","https://an-hl.ru/","2026-09-16","Премиальная упаковка; возможен интерес к зарубежному ассортименту"
"Виват-Риэлти","Нижний Новгород","https://vivatnn.ru/","vivat-rielty@mail.ru","+7 (831) 215-10-70","Зарубежка не подтверждена","Работает с 1999; широкий локальный ассортимент","B","https://vivatnn.ru/","2026-09-16","Давно на рынке; требуется оценка текущей активности команды и цифровых каналов"
"Твой дом","Пермь","https://tvoydom59.ru/","tdom_perm@mail.ru","+7 (342) 204-82-89","Зарубежка не подтверждена","Широкая сеть локальных партнёров банков и застройщиков","B","https://tvoydom59.ru/kompanija/","2026-09-16","Партнёрская культура уже присутствует; хороший кандидат для нового направления"
"Риэлт Сервис Омск","Омск","https://omskrs.ru/","contact@omskrs.ru","+7 (3812) 49-00-23","Зарубежка не подтверждена","Новостройки, вторичка, дома, коммерция","B","https://omskrs.ru/","2026-09-16","Среднее локальное агентство; удобный сегмент для масштабируемого outbound"
"BOGDANOV-RIELT","Омск","https://bogdanov-rielt.ru/","andrey_bogdanov2018@mail.ru","+7 (999) 329-99-25","Зарубежка не подтверждена","Небольшая команда, директор публично указан","B","https://bogdanov-rielt.ru/","2026-09-16","Очень хороший archetype целевого небольшого агентства: решение можно продавать напрямую владельцу"
"Единый Центр Недвижимости","Тюмень","https://www.ecn72.ru/","","+7 (3452) 707-202","Зарубежка не подтверждена","Жилая и коммерческая недвижимость, широкий каталог","B","https://www.ecn72.ru/","2026-09-16","Нужно добрать e-mail и оценить размер команды"
"Сота","Воронеж","https://www.snsota.ru/","","","Зарубежка не подтверждена","Действующее агентство; требуется углублённая карточка","B","https://www.snsota.ru/","2026-09-16","Включено как discovery candidate; контакты и масштаб надо добрать"
"Дом Недвижимости","Екатеринбург","https://www.domnedv.ru/","2681501@mail.ru","+7 (908) 631-53-39","Зарубежка не подтверждена","Сертифицированная локальная компания; полный набор жилых услуг","B","https://www.domnedv.ru/","2026-09-16","Подходит для теста ценности готового зарубежного направления"
"Риолюкс","Уфа","https://riolux.ru/ufa/","","","Зарубежка не подтверждена","Работает с 1997; тысячи сделок заявлены на сайте","B","https://riolux.ru/ufa/","2026-09-16","Сильный возраст бренда; требуется добрать прямые контакты"
