developer_brand,legal_name,entity_type,country,market,website,official_contact_url,sales_email,sales_phone,partner_contact,projects_or_scope,agency_program,published_agent_commission,lead_registration,broker_portal,payment_plans,priority,contact_status,source_urls,last_verified,notes
Magnum Development,unknown,developer,Indonesia,Bali,https://magnumdevelopments.com/,https://magnumdevelopments.com/,unknown,unknown,unknown,Magnum Residence Berawa; Bali pipeline,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://magnumdevelopments.com/; https://magnumdevelopments.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Hatten Land,unknown,developer,Indonesia,Bali,https://hattenland.com/,https://hattenland.com/,unknown,unknown,unknown,Bali hospitality and residential developments,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://hattenland.com/; https://hattenland.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Kura Kura Bali / BTID,unknown,developer,Indonesia,Bali,https://kurakurabali.com/,https://kurakurabali.com/,unknown,unknown,unknown,Kura Kura Bali special economic zone / master development,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://kurakurabali.com/; https://kurakurabali.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Nuanu,unknown,developer,Indonesia,Bali,https://nuanu.com/,https://nuanu.com/,unknown,unknown,unknown,Nuanu creative city / residences and hospitality,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://nuanu.com/; https://nuanu.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Bali National Golf Club / ITDC,unknown,developer,Indonesia,Bali,https://www.itdc.co.id/,https://www.itdc.co.id/,unknown,unknown,unknown,Nusa Dua master development and tourism assets,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.itdc.co.id/; https://www.itdc.co.id/,2026-09-15,Official website located; agency terms require direct confirmation.
Ciputra Development,unknown,developer,Indonesia,Bali,https://ciputradevelopment.com/,https://ciputradevelopment.com/,unknown,unknown,unknown,Indonesia residential and mixed-use portfolio; Bali opportunity to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://ciputradevelopment.com/; https://ciputradevelopment.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Sinar Mitbana Mas,unknown,developer,Indonesia,Bali,https://www.sinarmitbana.co.id/,https://www.sinarmitbana.co.id/,unknown,unknown,unknown,Indonesia mixed-use development; Bali inventory to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.sinarmitbana.co.id/; https://www.sinarmitbana.co.id/,2026-09-15,Official website located; agency terms require direct confirmation.
Synthesis Development,unknown,developer,Indonesia,Bali,https://synthesis-development.id/,https://synthesis-development.id/,unknown,unknown,unknown,Indonesia residential and hospitality portfolio; Bali inventory to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://synthesis-development.id/; https://synthesis-development.id/,2026-09-15,Official website located; agency terms require direct confirmation.
MNC Land,unknown,developer,Indonesia,Bali,https://mncland.com/,https://mncland.com/,unknown,unknown,unknown,Indonesia integrated resorts and property portfolio,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://mncland.com/; https://mncland.com/,2026-09-15,Official website located; agency terms require direct confirmation.
PT Bali Ragawisata,unknown,developer,Indonesia,Bali,https://www.baliragawisata.com/,https://www.baliragawisata.com/,unknown,unknown,unknown,Bali resort/residential project operator; project inventory to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.baliragawisata.com/; https://www.baliragawisata.com/,2026-09-15,Official website located; agency terms require direct confirmation.
