rank,company,city,website,public_contact,priority_tier,contact_status,source_url,checked_at,why_relevant,next_action
1,МИЭЛЬ,Москва,https://miel.ru,,A,source_verified_contact_pending,https://miel.ru,2026-09-15,"Large established agency brand; useful benchmark and potential distribution partner","Find commercial/partnership owner and foreign-property decision maker"
2,ИНКОМ-Недвижимость,Москва,https://www.incom.ru,+7 495 363-10-10,A,public_phone,https://www.incom.ru,2026-09-15,"Large Moscow agency with broad client base","Verify commercial/partnership contact and overseas-property activity"
3,БЕСТ-Недвижимость,Москва,https://www.best-realty.ru,,A,source_verified_contact_pending,https://www.best-realty.ru,2026-09-15,"Established Moscow agency; strong residential client base","Find owner/commercial contact and overseas-property activity"
4,Метриум,Москва,https://www.metrium.ru,,A,source_verified_contact_pending,https://www.metrium.ru,2026-09-15,"New-build and investment positioning relevant to MIRA","Find B2B/commercial owner and assess international desk"
5,Бон Тон,Москва,https://www.bonton.ru,,A,source_verified_contact_pending,https://www.bonton.ru,2026-09-15,"New-build sales specialization fits overseas extension proposition","Find partnership/commercial contact"
6,НДВ,Москва,https://www.ndv.ru,,A,source_verified_contact_pending,https://www.ndv.ru,2026-09-15,"Large new-build/residential distribution capability","Find partnership owner and foreign-property status"
7,Азбука Жилья,Москва,https://azbuka.ru,,B,source_verified_contact_pending,https://azbuka.ru,2026-09-15,"Broad residential agency and existing client base","Find direct commercial contact"
8,Point Estate,Москва,https://pointestate.ru,,A,source_verified_contact_pending,https://pointestate.ru,2026-09-15,"Premium/investment audience potentially strong for Phuket","Find owner/partnership contact and international activity"
9,Самолет Плюс,Москва,https://samoletplus.ru,,A,source_verified_contact_pending,https://samoletplus.ru,2026-09-15,"Large distributed network; strategic distribution potential","Identify central partnership decision maker rather than branches"
10,Адвекс,Санкт-Петербург,https://www.advecs.com,,A,source_verified_contact_pending,https://www.advecs.com,2026-09-15,"Established St Petersburg network with broad client base","Find commercial/partnership owner"
11,Петербургская Недвижимость,Санкт-Петербург,https://www.pn.ru,,A,source_verified_contact_pending,https://www.pn.ru,2026-09-15,"Strong new-build sales focus and developer relations","Find partnership owner and assess overseas direction"
12,Новосёл,Екатеринбург,https://novosel.ru,,A,source_verified_contact_pending,https://novosel.ru,2026-09-15,"Strong regional agency in major city","Find owner/commercial contact and new-build strength"
13,ЖИЛФОНД,Новосибирск,https://jilfond.ru,,A,source_verified_contact_pending,https://jilfond.ru,2026-09-15,"Large regional brand/network; relevant client base","Find central partnership owner and avoid branch duplication"
14,Центральное агентство недвижимости,Новосибирск,https://centralnoe.ru,,A,source_verified_contact_pending,https://centralnoe.ru,2026-09-15,"Strong regional new-build/residential agency","Find direct commercial/owner contact"
15,Грановит,Новосибирск,https://www.granovit.ru,,A,source_verified_contact_pending,https://www.granovit.ru,2026-09-15,"Established regional agency with new-build signal","Find owner/partnership contact and overseas interest"
16,Владис,Нижний Новгород,https://vladis.ru/nizhny-novgorod,,A,source_verified_contact_pending,https://vladis.ru/nizhny-novgorod,2026-09-15,"Large network presence in major regional market","Resolve central vs regional partnership decision maker"
17,Монолит,Нижний Новгород,https://monolit-nn.ru,,A,source_verified_contact_pending,https://monolit-nn.ru,2026-09-15,"Strong regional property agency","Find commercial/partnership contact"
18,Визит,Самара,https://www.vzt.ru,,A,source_verified_contact_pending,https://www.vzt.ru,2026-09-15,"Established Samara agency; regional pilot fit","Find owner/commercial contact"
19,Рио-Люкс,Самара,https://rio-lux.ru,,A,source_verified_contact_pending,https://rio-lux.ru,2026-09-15,"Regional agency with broad residential presence","Find decision maker and overseas-property status"
20,АЯКС,Краснодар,https://www.ayax.ru,,A,source_verified_contact_pending,https://www.ayax.ru,2026-09-15,"Large South Russia agency close to investment/resort audience","Find central partnership owner and Phuket demand signal"
21,Городской риэлторский центр,Сочи,https://grc-sochi.ru,,A,source_verified_contact_pending,https://grc-sochi.ru,2026-09-15,"Resort-market agency; client profile potentially close to overseas property","Find owner/commercial contact"
22,Рост Недвижимость,Сочи,https://rost-sochi.ru,,A,source_verified_contact_pending,https://rost-sochi.ru,2026-09-15,"Resort-market agency with relevant investment audience","Find owner/partnership contact"
23,Дон-МТ,Ростов-на-Дону,https://donmt.ru,,A,source_verified_contact_pending,https://donmt.ru,2026-09-15,"Established regional agency in large southern market","Find commercial owner and international interest"
24,Региональный центр недвижимости,Иркутск,https://rcn38.ru/,,B,source_verified_contact_pending,https://rcn38.ru/,2026-09-15,"Regional diversification target in Eastern Russia","Find owner/commercial contact"
25,Панорама недвижимости,Тюмень,https://www.ndv72.ru/,,B,source_verified_contact_pending,https://www.ndv72.ru/,2026-09-15,"Affluent regional market and investment client potential","Find direct commercial contact"
26,СОТА,Воронеж,https://www.snsota.ru/,,B,source_verified_contact_pending,https://www.snsota.ru/,2026-09-15,"Regional agency in million-plus city","Find owner/partnership contact"
27,Вектор-Недвижимость,Ярославль,https://vektor.life/,,B,source_verified_contact_pending,https://vektor.life/,2026-09-15,"Strong regional diversification candidate","Find commercial decision maker"
28,Высоцкий Эстейт,Хабаровск,https://vysotsky.estate/,,A,source_verified_contact_pending,https://vysotsky.estate/,2026-09-15,"Far East location is strategically relevant to Asian property demand","Find owner/partnership contact and overseas activity"
29,Проспект-Недвижимость,Барнаул,https://prospekt-nedvizhimost.ru/,,B,source_verified_contact_pending,https://prospekt-nedvizhimost.ru/,2026-09-15,"Regional agency outside saturated capital markets","Find direct commercial contact"
30,Новый дом,Уфа,https://newhouseufa.ru/,,A,source_verified_contact_pending,https://newhouseufa.ru/,2026-09-15,"Regional agency in major city; suitable for international-direction proposition","Find owner/commercial contact"
31,Аркада,Уфа,https://arkada-realty.ru/,,A,source_verified_contact_pending,https://arkada-realty.ru/,2026-09-15,"Established local brand; regional pilot fit","Find owner/partnership contact"
32,Счастливый адрес,Екатеринбург,https://schastliviyadres.ru/,,B,source_verified_contact_pending,https://schastliviyadres.ru/,2026-09-15,"Local agency candidate for new overseas vertical","Find decision maker and client/investment profile"
33,Корифей,Екатеринбург,https://korifei.ru/,,B,source_verified_contact_pending,https://korifei.ru/,2026-09-15,"Regional agency candidate in large city","Find direct commercial contact"
34,Ключ,Казань,https://an-klyuch.ru/,,A,source_verified_contact_pending,https://an-klyuch.ru/,2026-09-15,"Kazan regional agency with potentially strong investment audience","Find owner/commercial contact"
35,Премьер,Казань,https://premier-realty.ru/,,B,source_verified_contact_pending,https://premier-realty.ru/,2026-09-15,"Regional agency candidate for overseas extension","Find direct partnership contact"
36,РиэлтКонсалт,Омск,https://rieltconsult.ru/,info@rieltconsult.ru,A,public_email,https://rieltconsult.ru/,2026-09-15,"Official public email already available; practical manual outreach candidate","Verify active commercial contact and foreign-property appetite"
37,Диал,Екатеринбург,https://dial93.ru/,main@dial93.ru,A,public_email,https://dial93.ru/,2026-09-15,"Public email and strong regional city coverage","Verify owner/commercial contact and new-build focus"
38,Титул,Ростов-на-Дону,https://realtitul.ru/,client@realtitul.ru,A,public_email,https://realtitul.ru/,2026-09-15,"Public email and South Russia investment audience","Verify partnership owner and international-property demand"
39,Новая жизнь,Самара,https://www.nlre.ru/,nlre@bk.ru,A,public_email,https://www.nlre.ru/,2026-09-15,"Public email and regional new-build/residential signal","Verify owner/commercial contact"
40,ГиперДОМ,Казань,https://www.giperdom.net/,agentstvo@giperdom.net,A,public_email,https://www.giperdom.net/,2026-09-15,"Public agency email; useful first-wave regional target","Verify decision maker and international direction interest"
41,CentRoom,Казань,https://centroom.ru/,sale@centroom.ru,A,public_email,https://centroom.ru/,2026-09-15,"Public sales email and strong regional market","Verify B2B/owner contact"
42,ЧФК недвижимость,Краснодар,https://bsfc.com/,bsfc@bsfc.com,A,public_email,https://bsfc.com/,2026-09-15,"Public email; South Russia investment audience","Verify real-estate agency entity and partnership owner"
43,На ЮГ,Краснодар,https://www.nayug24.ru/,krd@nayug24.ru,A,public_email,https://www.nayug24.ru/,2026-09-15,"Public email and resort/investment region fit","Verify owner/commercial contact and overseas demand"
44,Континент,Ростов-на-Дону,https://continent-realty.com/,kontinent-r@mail.ru,A,public_email,https://continent-realty.com/,2026-09-15,"Public email and major southern city coverage","Verify owner/partnership contact"
45,Альмерия,Ростов-на-Дону,https://almeriy.ru/,info@almeriy.ru,A,public_email,https://almeriy.ru/,2026-09-15,"Public email; regional launch candidate","Verify commercial owner and investment focus"
46,Золотой ключик,Нижний Новгород,https://goldkeynn.ru/,bossgoldkey@mail.ru,A,public_email,https://goldkeynn.ru/,2026-09-15,"Public contact and large regional market","Verify current owner/commercial role and overseas interest"
